gene,meth_delta,expr_delta,expr_p,expr_sig
A4GALT,-0.0003749246582984377,-0.20505920617375228,0.1983230239499439,False
AAAS,-0.0028715035015753547,-0.44852649320022464,0.1223723063729992,False
AAED1,0.0011945997369601092,-0.141297014773818,0.502299159097336,False
AAK1,-0.001732228515202805,-0.14394970372529,0.17346333127624097,False
AAMDC,-0.002486252046703781,-0.014926179288022744,0.8965485890636036,False
AAMP,0.0008848470040061411,-0.17912352442651447,0.5826467235924822,False
AAR2,-0.0013619734513094926,0.35636670558005334,0.28876698703040393,False
AARS,-0.0008619890351182925,0.20455399725337767,0.4895328208174514,False
AARSD1,0.0011429239489970085,0.12789592792296434,0.2286195310051436,False
AASDH,0.0025040366248073585,-0.02931268640571429,0.9148314120173247,False
AASDHPPT,0.0011388715326487598,0.2006719613837022,0.15230750927378767,False
AATF,-0.0014353661091449875,0.028997315676204574,0.8481052673476728,False
ABAT,0.0007044319128272444,-0.1278842505907078,0.7330792013765727,False
ABCA5,-3.080437554519284e-05,-0.1533264893027104,0.5455921950700442,False
ABCA7,-0.00104360700518664,-0.28029413213869836,0.414914706410237,False
ABCB1,-0.003107101266654852,-0.5225250415918397,0.06839156956400595,False
ABCB4,-0.0045242630081970495,-0.16775146581347034,0.5063806946738638,False
ABCB7,0.013019290992249893,0.25991883902193075,0.38418014021478164,False
ABCB8,0.0007779737093458562,0.33106712113975706,0.25750556808120023,False
ABCC10,-0.0017452975733661016,0.10490858835027936,0.7402254539552277,False
ABCC3,-0.0003924755690320927,-0.5505485510797341,0.09696845460648963,False
ABCC5,-0.0021867515960397547,-0.02259143510464925,0.950842451766366,False
ABCD3,-0.0007840113338069527,-0.1522451238376339,0.6485938109388483,False
ABCD4,-0.0008962950662937279,0.2128115537117083,0.6575657526704164,False
ABCE1,0.0006431114969994899,0.13766718308908907,0.662341041379957,False
ABCF1,0.00016835249395977258,-0.17018045726341516,0.5369665380258845,False
ABCF2,-0.0007028131483270952,0.3945132887251525,0.01651191084403077,True
ABCF3,0.0007100186797106186,0.15420494949890984,0.4912721396999228,False
ABHD10,-0.0010539498324729805,0.3127195889225683,0.2293813269681798,False
ABHD11,-0.00019216190990906852,-0.11066614542669861,0.6873597048655228,False
ABHD13,0.0011929898758155173,0.2921330184950369,0.32083194079497485,False
ABHD14A,-0.0015441636263511013,-0.04481287544441508,0.801091759313275,False
ABHD14B,-0.0011172100375755516,-0.16069790025386144,0.3345694324250013,False
ABHD16A,0.007447448604906296,-0.19837722910432198,0.21931560341313777,False
ABHD17A,0.0017623410808484828,-0.04135523567886834,0.8475437280676226,False
ABHD2,-0.0028431289381334445,0.15546049279529525,0.48477301472293277,False
ABHD3,-0.0028110295310947555,0.23850443822017034,0.5575887856941437,False
ABHD4,0.0004750282283468419,-0.5928494404263681,0.08563277041199027,False
ABHD5,-0.0005801033676492313,-0.08291726791225283,0.7830977850657923,False
ABHD8,-0.001760681486425442,0.17377506916540691,0.5469563712841663,False
ABI1,-0.0022514986592044013,-0.17098127883542155,0.4156727894674491,False
ABI2,-0.002881202573307896,0.19871096554086598,0.4505037983490032,False
ABI3,0.005308761910190355,-0.14505449534604248,0.6329154494115965,False
ABLIM1,-0.002496062327240262,-0.3000869378330334,0.3889560383821904,False
ABLIM3,-0.003200450354363151,-0.2762726682248155,0.20329102897052148,False
ABO,-0.004660544315071052,0.11176119455327843,0.5547962150286243,False
ABR,-0.0005902919332361857,-0.37151299420932243,0.3117495772572278,False
ABRACL,0.0017375913243061472,0.036009725080056496,0.5666835582481204,False
ABT1,-0.0009591424920021618,-0.2801087309219804,0.15279460905257602,False
ABTB1,-1.0598797436100538e-05,-0.09287860793889664,0.254168385235222,False
ACAA1,0.00016641140733255545,0.21854951562997194,0.5321397776095137,False
ACAA2,0.0029874022987130345,0.03295244381437801,0.6398529403422337,False
ACACA,-0.0017245448347522608,-0.548140006560513,0.10759092045226079,False
ACAD8,-0.0035591680143234237,0.10706266847965264,0.7297750557655343,False
ACAD9,0.00021872916480200364,0.0206085405361537,0.9597096238570422,False
ACADM,-0.001111285826871755,-0.2072703898024759,0.41540910814312637,False
ACADSB,0.000157247846312326,-0.34984516717587655,0.04582462419174158,True
ACADVL,-0.0010244777224774962,-0.10973171124480927,0.6928131836606671,False
ACAP1,-0.0021681427320460957,-0.5404700950081048,0.011558157882718023,True
ACAP2,-0.0017899477541115489,-0.08460868329017648,0.8058608405354981,False
ACAT1,0.0006343894020923156,0.0514065724405941,0.8544033532549246,False
ACAT2,0.00040400138872204774,-0.22311496462759114,0.19128273701625054,False
ACBD4,-0.0005463809380362005,-0.3783425900023041,0.07321138036272945,False
ACBD5,0.0007465331522984592,-0.5166298726127923,0.16531475723248695,False
ACBD6,-0.0012321913280651648,0.5164186445452142,0.02799330580713455,True
ACCS,-0.00624432629191809,-0.3884782719462754,0.1646596696510387,False
ACER3,-0.002161884504971871,-0.043375424874422114,0.8541387760667505,False
ACKR1,0.00021731593817889415,0.21465680925048838,0.30711271657716555,False
ACLY,-0.0015353729537130529,-0.7650657042496005,0.06121228428051075,False
ACO1,-0.00019858824904485893,-0.04963719736809543,0.856831178796578,False
ACO2,-0.0006124301141808,0.0392390599225676,0.9096936931015212,False
ACOT13,-0.0028885612141476163,0.11453079723115482,0.1256738648052561,False
ACOT7,-0.0009910695259606151,0.053742128288171945,0.8178380461668989,False
