gene,meth_delta,expr_delta,expr_p,expr_sig
A1BG,-0.0012672856398266662,0.14953665679998013,0.3089528397932747,False
A2M,-0.007312115842724999,0.7340444790918106,8.476640111324438e-05,True
A4GALT,-0.0029950528393047618,0.26590143434673413,0.035552457044821385,True
AAAS,0.00434723803455,0.12288715902084882,0.06987246365644882,False
AACS,0.00011297771141611123,0.2826963262826794,2.6818949863464257e-05,True
AADAT,0.0014329742394928572,-0.04607138369596586,0.618785018566643,False
AAGAB,0.0036874822091125,0.11244157837253853,0.13761670904835605,False
AAK1,0.0013590001493400002,0.02788860131290853,0.8273866294931093,False
AAMP,0.00016354629950000006,-0.012571750616696646,0.8813066025081944,False
AARS,0.0002592905733161904,-0.03199398162466509,0.6602136445319695,False
AARS2,0.0008908354646875,0.13404762393981356,0.04983842814644232,True
AARSD1,0.0038382919396071427,0.027196229074222537,0.7495500329550895,False
AASDH,0.0017617423777614286,-0.14592741864583061,0.11107844214118519,False
AASDHPPT,-0.0010615315303056669,-0.1537798534723235,0.053582990716156784,False
AASS,0.004833108859115,0.0002119017700695578,0.999088008074105,False
AATF,-0.0009309246194505263,-0.14988839560036069,0.11394503858066886,False
ABCA1,0.0037260373749315786,0.04207648619031166,0.7405767056226407,False
ABCA10,-0.008348077383333334,-0.29986258991446574,0.018486700306159943,True
ABCA11P,-0.00023687091822111113,-0.06869952262806202,0.6520412534162865,False
ABCA2,0.0004943972946113157,0.09125124824358641,0.5458999683359086,False
ABCA3,0.0021286378048104167,-0.05390555923059566,0.5637489162074393,False
ABCA5,0.003949271554910526,-0.37567040205982666,0.04727077388830833,True
ABCA6,-0.01546367394,-0.10279693668338187,0.24713414183596483,False
ABCA7,-0.0016021519768833336,-0.24974711115474504,0.0007833444481801236,True
ABCA8,0.004002650524,0.19471058448867493,0.22701497355928807,False
ABCA9,-0.0008529594783333335,-0.004378443567098842,0.9620473734651973,False
ABCB10,-0.00079843500663,-0.17464668629889063,0.0828761875117143,False
ABCB4,0.009113980561158334,-0.07389693107170224,0.5958166694203891,False
ABCB6,0.0002122794530071429,-0.4228661585140547,0.0008891434431875639,True
ABCB8,0.0019713105421495652,0.16634022197720313,0.14506916608716222,False
ABCC1,-0.0004916393868318182,0.005435597025537107,0.9348350836886399,False
ABCC10,0.007369049918668332,0.12634347072286134,0.25398987576541227,False
ABCC5,0.00055313743044136,-0.28342542448615976,0.02978517879780511,True
ABCC6,0.006558985243475,-0.26876475102464964,0.08551391407261401,False
ABCC8,-0.007219894081074783,-0.07307975847833735,0.5630564355900887,False
ABCC9,-0.00047896940199999995,0.009143548617486251,0.920963560341059,False
ABCD3,0.0009043725388199999,-0.10454436621731909,0.25609879215073755,False
ABCD4,-0.0016816402097454546,-0.14230866895034724,0.22377552758909516,False
ABCE1,0.0011676481388288096,0.13686545807674458,0.32263649658427085,False
ABCF1,0.0019268959473866037,-0.0542497189167169,0.3915645061136278,False
ABCF2,0.00661318894832353,0.1103195253240691,0.12615965485058575,False
ABCF3,-0.0015062801600933332,-0.06448864513013021,0.43043134764457314,False
ABCG1,-0.003440701395577783,0.3921516311332087,0.01938611068476404,True
ABHD1,0.0051428307793750004,0.5442964431147425,0.0015005601364504473,True
ABHD10,0.001957707930315385,0.07715537255934485,0.3173092518546516,False
ABHD11,0.0002494161069,0.43286699523582883,1.1888565901557948e-05,True
ABHD12,0.006048124499593101,0.1427396010450618,0.29949063693353517,False
ABHD13,-0.0003570983185749999,-0.11794662907938984,0.1538247283418924,False
ABHD14A,0.0036434228181631578,0.15140798674562897,0.05744457366975381,False
ABHD14B,0.0004980747929578947,0.2401057151997338,0.009222550879225456,True
ABHD2,0.001858793286208696,0.13805868211774122,0.26926827279132415,False
ABHD3,-0.0011870861725733334,-0.21631321180189939,0.19770081323790686,False
ABHD4,-0.00018531762279230772,-0.04860491742945674,0.645152224987705,False
ABHD5,-9.541082704000008e-05,0.03390138364409241,0.7041129442272218,False
ABHD6,0.007906958314846153,0.20201557439837475,0.12000761519132105,False
ABHD8,0.00042790617346206885,0.10741233288028526,0.43485634493279623,False
ABI1,0.004156790805735,-0.0004591645215910247,0.9935521214113698,False
ABI2,-0.0028096413302466663,0.4271502944206272,0.003451210789609727,True
ABI3,-0.0031752303807999994,0.4501532168830821,0.00038805014122459314,True
ABI3BP,0.005799950987434117,0.4965205643952716,0.007115877963528561,True
ABL1,0.003426178838577105,-0.014203691213778725,0.8375615993397197,False
ABLIM1,-0.0016436309589613883,0.12438379724715927,0.09266377106168079,False
ABLIM2,0.003642985214848154,-0.0332620828528873,0.7519492111523879,False
ABLIM3,-0.005153532454182001,0.4186984024071979,0.007014634675901724,True
ABR,0.004161197683745176,0.07706976064974436,0.1632501320059106,False
ABRA,0.025437596875000003,-0.5259302908459521,0.007333886015854935,True
ABT1,-0.00015976413214666686,-0.021096551661614817,0.7770870789556186,False
ABTB1,0.0005136928348692309,0.07264290196032673,0.3631726198147527,False
ABTB2,0.0059580188296,-0.054414769901791796,0.5265083782364521,False
ACAA1,-0.00371633507051,0.337812455371437,0.0013280238757873279,True
ACAA2,0.002534350876913999,0.4454412882473596,4.816630550219642e-07,True
ACACA,0.0039260953569543395,-0.002676627237959654,0.9870905254422,False
ACACB,0.0005352955043916669,0.09379354617685194,0.12236327456091972,False
ACAD10,0.0029549060466827273,0.20912907473954342,0.011968174019960285,True
ACAD11,0.0017591569040514288,0.006583340883889707,0.9654858327618434,False
ACAD8,0.0035048914243125,0.2226800395019912,0.0006919984733908702,True
