a,b,U,fold,p,samedir,classpair
metformin,empagliflozin,356,0.7875436058878584,0.9769081141934152,0.4230769230769231,within-DRUG
metformin,semaglutide,344,1.178082191780822,0.0254077626832681,0.803921568627451,within-DRUG
metformin,BBS,356,1.3795962509012256,0.0013740624484984,0.7906976744186046,DRUG×SURGERY
metformin,MS_bariatric,79,1.0533333333333337,0.6863389774782178,0.0,DRUG×SURGERY
metformin,DiRECT,290,1.2469766191883902,0.0447246965531263,0.46875,DRUG×DIET
empagliflozin,semaglutide,1115,1.1045965043518695,0.0109066020834825,0.5357142857142857,within-DRUG
empagliflozin,BBS,1272,1.1507345022185844,0.0015564642222936,0.6190476190476191,DRUG×SURGERY
empagliflozin,MS_bariatric,120,1.836734693877551,0.1850346396707313,0.6666666666666666,DRUG×SURGERY
empagliflozin,DiRECT,883,1.0155119214586257,0.4204563694113722,0.5691056910569106,DRUG×DIET
liraglutide,semaglutide,87,1.0,1.0,0.3636363636363636,within-DRUG
liraglutide,DiRECT,65,1.0,1.0,0.7692307692307693,DRUG×DIET
semaglutide,BBS,1253,1.280984586347908,1.4210350683796022e-12,0.8058608058608059,DRUG×SURGERY
semaglutide,MS_bariatric,324,1.4809364548494983,4.148761577131838e-06,0.8536585365853658,DRUG×SURGERY
semaglutide,DiRECT,4113,1.1551038014647843,1.6558080060214484e-08,0.7761437908496732,DRUG×DIET
BBS,MS_bariatric,125,1.3297872340425532,0.4838712772955333,1.0,within-SURGERY
BBS,DiRECT,976,1.1443605582246623,0.0031824209118684,0.7621951219512195,SURGERY×DIET
MS_bariatric,DiRECT,276,1.0211416490486258,0.5075778506846379,1.0,SURGERY×DIET
