layer,pair,pole,fold
transcriptome,liver×adipose,reversible,4.753691884112383
transcriptome,liver×adipose,persistent,0.0
transcriptome,liver×muscle,reversible,3.7890869776267593
transcriptome,liver×muscle,persistent,0.0
transcriptome,liver×blood,reversible,2.546006573694082
transcriptome,liver×blood,persistent,0.0
transcriptome,adipose×muscle,reversible,2.824
transcriptome,adipose×muscle,persistent,0.0
transcriptome,adipose×blood,reversible,3.1235513245033117
transcriptome,adipose×blood,persistent,0.0
transcriptome,muscle×blood,reversible,2.8945003594536303
transcriptome,muscle×blood,persistent,0.0
methylome,bloodxmuscle,reversible,2.479103004509297
methylome,bloodxmuscle,persistent,1.356650993987628
methylome,bloodxadipose,reversible,2.426404660045661
methylome,bloodxadipose,persistent,1.2240572510683645
methylome,musclexadipose,reversible,3.9332646322763183
methylome,musclexadipose,persistent,0.9028559826229364
