gene,n_tissue_pairs,named
CD83,3,True
PLAUR,3,True
THBS1,3,True
PFKFB3,3,True
ACLY,1,True
ADAMTS4,1,False
ADH1B,1,False
ANGPTL4,1,True
CA3,1,False
CCL2,1,True
CD180,1,False
CD48,1,False
CD52,1,False
CETP,1,False
CTH,1,False
CXCR4,1,False
EGR1,1,False
FAT1,1,False
FMO1,1,False
FOSB,1,False
FPR1,1,False
GPAT3,1,False
GPNMB,1,False
GSDMB,1,False
HPGD,1,False
IGSF6,1,False
IL18,1,True
IL1RN,1,False
IL2RG,1,False
INSIG1,1,False
LBP,1,False
LCP1,1,False
LDLR,1,False
LYZ,1,False
MAP3K5,1,False
ME1,1,False
MNDA,1,False
MT1M,1,False
NCF2,1,False
P2RY12,1,False
PILRA,1,False
PLA2G2A,1,False
PLPP1,1,False
PLTP,1,False
PPP2R1B,1,False
RGS1,1,False
S100A8,1,False
S100A9,1,False
SAA1,1,True
SAA2,1,False
SELL,1,False
SLAMF6,1,False
SLAMF7,1,False
SLC27A2,1,False
SPP1,1,True
VNN2,1,False
CDH5,1,False
CTSC,1,False
FABP4,1,False
GPT2,1,False
HECW2,1,False
IFI16,1,False
MSS51,1,False
MT2A,1,False
MYH1,1,False
PEA15,1,False
PECAM1,1,False
SLC38A1,1,False
SRGN,1,False
TAGLN2,1,False
TMSB10,1,False
UCP2,1,False
ZFP36,1,False
ABLIM3,1,False
BASP1,1,False
CKS2,1,False
DEFA1B,1,False
FOSL2,1,False
ICAM1,1,False
KLRF1,1,False
NR4A2,1,False
SIK1,1,False
SLC2A3,1,False
SOCS3,1,False
TNFAIP3,1,False
TRIB1,1,False
AASS,1,False
ABCG1,1,False
COL3A1,1,False
MXRA5,1,False
NPR3,1,False
THBS4,1,False
ALAS2,1,False
CES1,1,False
HBB,1,False
HBD,1,False
SLC4A1,1,False
TUBB2A,1,False
CLDN5,1,False
UBE2Q2,1,False
