gene,rev2,rev5
ZDHHC20,-0.8562162162162162,-0.9462162162162164
MTRF1,-0.1954054054054054,-0.287027027027027
RING1,0.2035135135135134,0.2394594594594594
CASP1,-0.5659459459459463,-0.6597297297297298
TMEM260,0.2240540540540541,0.0170270270270271
CHMP4B,-0.1870270270270268,-0.1527027027027026
ABCC6,-0.4602702702702704,-0.2294594594594594
FTLP14,-0.2483783783783785,-0.2
NAPRT,0.2743243243243243,0.1629729729729728
ANPEP,-0.9810810810810808,-0.9254054054054048
GCOM1,-0.5448648648648646,-0.3094594594594594
WWC2,-0.4737837837837835,-0.3375675675675673
TMSB4XP6,-0.6640540540540543,-0.7721621621621624
HLA-G,-0.2670270270270269,-0.3378378378378376
CKS1BP3,0.5624324324324327,0.5775675675675679
TMEM205,-0.3137837837837837,-0.3837837837837837
DCAF8,0.1608108108108108,0.2248648648648649
NBPF15,0.2867567567567566,0.3175675675675677
SLC18B1,-0.6697297297297296,-0.9972972972972972
EBF1,0.6640540540540543,0.7662162162162165
SERINC1,-0.1718918918918918,-0.1537837837837837
GOLGA6L5P,0.3894594594594595,0.3956756756756756
YBX2,0.2567567567567567,0.2167567567567568
ENO1P3,-0.4375675675675675,-0.2556756756756755
TAF3,0.1764864864864866,0.0497297297297298
EIF4BP7,0.7370270270270275,0.6464864864864868
HAUS4,0.3310810810810809,0.1486486486486487
NUAK2,-0.1927027027027026,-0.2637837837837837
MED8,-0.2213513513513514,-0.302972972972973
GNB1,-0.4464864864864862,-0.4043243243243242
BBS5,-0.2291891891891892,-0.165135135135135
HNRNPA1P41,0.2627027027027027,0.1786486486486485
RBMS1P1,-0.385945945945946,-0.1018918918918917
PLVAP,-0.5181081081081079,-0.5656756756756757
RORC,0.2089189189189189,0.1062162162162162
ARHGAP20,-0.5718918918918918,0.1937837837837838
MAFTRR,0.5905405405405407,0.573243243243243
RENBP,-0.6283783783783784,-0.6140540540540542
ZCRB1,-0.3156756756756758,-0.3024324324324324
YWHAH,-1.217297297297297,-0.9967567567567568
FAM72A,-0.7418918918918918,-0.8972972972972973
RUNX1T1,0.3516216216216213,0.4443243243243243
RYR1,-0.2462162162162162,-0.2435135135135135
RLIMP1,0.3027027027027026,0.3386486486486487
NDUFS5P4,0.1567567567567567,0.0205405405405405
EEF1DP7,0.1929729729729729,0.1491891891891892
TPBG,-0.3748648648648648,-0.5851351351351352
TET1,0.7099999999999999,0.6164864864864864
EIF3H,0.4843243243243242,0.0813513513513514
CCDC173,0.2710810810810811,0.2575675675675676
YTHDF2,-0.2818918918918918,-0.188918918918919
NR4A1,-0.8213513513513513,-0.9824324324324324
GGNBP2,0.3929729729729731,0.2710810810810811
AP3S2,0.1610810810810812,0.2243243243243244
SPDYE1,0.1489189189189188,0.1591891891891891
TRAV21,-0.2105405405405405,0.0532432432432432
FAM83D,-0.2502702702702702,-0.2405405405405405
TXNL4A,-0.5962162162162162,-0.4051351351351352
LCP1,-3.4645945945945944,-4.392162162162162
SNAR-A4,-0.4116216216216215,-0.3940540540540541
RPP40,-0.5281081081081083,-0.3456756756756755
CTSO,-0.2675675675675676,-0.388108108108108
CXCL2,-0.4259459459459461,-0.3008108108108108
DDX50,0.3613513513513512,0.1551351351351349
NDOR1,-0.2537837837837837,-0.0832432432432432
ZMYM2,0.2340540540540541,0.2075675675675676
EIF4A2P1,0.362972972972973,0.1867567567567567
URAD,-0.6305405405405407,-0.3089189189189188
UTP6,-0.3375675675675675,-0.1902702702702703
LYZ,-3.774324324324326,-4.819999999999999
LIN28B,0.2194594594594594,0.0372972972972972
ZNF654,0.2121621621621623,-0.0799999999999998
LYNX1,-0.4097297297297297,-0.217027027027027
FXYD6,-0.2691891891891892,-0.2075675675675676
IBTK,0.1002702702702699,0.079189189189189
KIAA1586,0.2856756756756757,0.19
EFNB2,-0.3781081081081079,-0.2197297297297296
MRPL15,-0.2564864864864864,-0.1162162162162161
PAN3,0.1986486486486486,0.0910810810810811
RUNX2,-0.2700000000000001,-0.6086486486486485
DCUN1D5,-0.1897297297297297,-0.2762162162162161
PLEC,-0.4564864864864865,-0.3335135135135135
SLC47A1,-0.2202702702702701,-0.1989189189189189
KDM1B,-0.2602702702702702,-0.4443243243243244
SEPHS2,-0.178108108108108,-0.2108108108108108
CNN2P7,0.1727027027027027,0.108108108108108
HPGDS,-1.6154054054054052,-1.8440540540540544
RN7SL138P,-0.2740540540540541,-0.3040540540540539
TYRO3,0.616756756756757,0.7864864864864866
FTH1P5,-0.5810810810810808,-0.4418918918918919
DPP8,-0.3118918918918917,-0.1859459459459458
KCNE4,-0.2321621621621621,-0.1291891891891891
SAA2,-0.6227027027027029,-0.0686486486486485
ZBED6,0.1799999999999999,0.1218918918918917
SEC23A,-0.2932432432432433,-0.0843243243243243
MAT2B,0.3424324324324323,0.0245945945945944
AASS,1.6943243243243242,1.4705405405405407
CDC14B,0.2645945945945945,0.2654054054054052
EFNA1,0.3054054054054054,-0.0105405405405405
CSF2RB,-0.4570270270270269,-0.7229729729729731
NCBP2L,-0.1159459459459459,-0.0602702702702702
LAMP3,-0.3694594594594595,-0.4662162162162162
PLEKHG2,-0.1905405405405404,-0.0862162162162162
FASTKD1,-0.242972972972973,-0.2954054054054055
FLVCR2,-0.667837837837838,-0.790810810810811
THSD1,0.2991891891891894,-0.208108108108108
THAP3,0.2767567567567567,0.1508108108108107
CCKAR,-0.1875675675675676,-0.0616216216216216
FAM72D,-0.5318918918918919,-0.5299999999999996
AKR1B1P4,-0.1645945945945947,-0.1829729729729729
ATP6V0D1,-0.9081081081081076,-0.8016216216216214
ACVR2A,0.6327027027027028,0.2310810810810811
ARFIP2,-0.1445945945945948,-0.1802702702702704
POMP,-0.6564864864864867,-0.3845945945945946
WHAMMP3,0.4408108108108107,0.3864864864864863
AQP7,0.8391891891891892,1.0340540540540544
PPARG,0.6440540540540542,0.5764864864864865
CHN1,-0.724054054054054,-0.847027027027027
RASSF5,-0.7791891891891893,-1.1216216216216215
PRKRIP1,0.2751351351351352,0.2262162162162161
NSA2,0.4597297297297298,0.3721621621621622
KIAA1328,0.1305405405405405,0.1529729729729728
ZKSCAN3,0.4916216216216215,0.2408108108108109
XCR1,-0.2002702702702702,-0.0189189189189189
ACAT2,-0.3029729729729729,0.0718918918918919
MGP,-0.9410810810810804,-1.4697297297297292
SCFD1,-0.3756756756756756,-0.3613513513513512
EEA1,-0.8221621621621621,-0.4983783783783787
USP9YP1,-0.2378378378378379,-0.1343243243243243
SLC2A3P2,0.5151351351351352,0.3224324324324323
SNRPEP6,-0.174054054054054,-0.2278378378378378
SNRNP70,0.3237837837837837,0.2627027027027028
AKAP9,0.3905405405405405,0.5056756756756757
EIF1AXP1,-0.1475675675675675,0.0829729729729729
MIRLET7A1,0.3048648648648649,0.3129729729729729
RN7SL688P,0.2256756756756756,0.102972972972973
PRPF4B,0.3105405405405405,0.2729729729729729
ENO1,-0.3572972972972973,-0.5021621621621621
PRR12,0.2062162162162162,0.1005405405405405
HVCN1,-0.1729729729729729,-0.2859459459459459
VWFP1,-0.2527027027027026,-0.0891891891891891
RTKN2,-0.2432432432432431,-0.1713513513513512
CD83,-1.599189189189189,-1.9905405405405407
CARD6,-0.5440540540540539,-0.6356756756756756
DPY19L1,-0.2381081081081079,-0.2632432432432431
MRTO4,-0.3356756756756757,-0.3251351351351351
ATP5LP6,0.1854054054054054,0.3151351351351352
MRPL17,-0.4002702702702702,-0.3310810810810812
AK4P6,0.2562162162162163,0.2194594594594595
AIDA,0.1737837837837837,0.3908108108108108
MRPS23,-0.4932432432432432,-0.4451351351351353
TUBD1,0.5375675675675674,0.352162162162162
CACNA2D1,-1.804054054054054,-1.3154054054054052
MYSM1,0.3099999999999999,0.2091891891891892
TCEB1P2,-0.2097297297297298,-0.0240540540540541
PLIN5,0.4710810810810811,0.3913513513513513
MTCYBP23,-0.7686486486486487,-1.5137837837837838
ZFYVE21,0.2424324324324322,0.2872972972972972
DDX43P1,0.2008108108108108,0.2354054054054053
VPRBP,-0.2897297297297297,-0.1167567567567568
DMXL2,-0.7854054054054055,-0.8727027027027024
PARD6B,-0.287027027027027,-0.2651351351351352
PGDP1,-0.3143243243243243,0.0697297297297297
RASGRP4,-0.3672972972972974,-0.5475675675675676
RAI2,0.7970270270270274,0.8605405405405406
DNASE2B,-1.3659459459459462,-1.4267567567567567
IGF2BP2,0.2954054054054054,0.4205405405405407
RN7SKP74,0.2443243243243242,0.1821621621621619
REL,-0.670810810810811,-0.822972972972973
NPC2,-1.1864864864864864,-1.6972972972972968
EXOSC2,0.3018918918918918,-0.1148648648648648
PEG3,0.3124324324324324,0.2118918918918917
FHOD3,0.7410810810810812,0.8521621621621623
PSMA3,-0.4370270270270273,-0.2959459459459461
IRS2,0.9364864864864868,1.1294594594594591
SLC39A14,-0.4254054054054053,-0.4872972972972971
ST13P2,0.3527027027027028,0.3902702702702704
TRMT1L,0.2916216216216217,0.1735135135135135
ETV5,-1.035135135135135,-0.8294594594594594
PRKXP1,-0.1999999999999998,-0.1267567567567566
PNKD,-0.3067567567567568,-0.2483783783783782
SSH2,0.1875675675675673,-0.0900000000000001
TOX,-0.2681081081081081,-0.3194594594594594
MYOG,-0.2456756756756756,-0.0781081081081081
PPM1L,-0.3440540540540541,-0.1929729729729729
ZMYND10,-0.1899999999999999,-0.0686486486486486
ANTXRL,-0.1883783783783784,-0.2245945945945946
RNA5SP263,0.5394594594594597,0.6164864864864869
MTCO2P20,0.2164864864864864,0.0918918918918919
TNRC6A,0.211081081081081,0.2632432432432433
MT1E,-0.3378378378378378,-0.7972972972972971
FECHP1,0.1443243243243244,0.0294594594594594
RNF103,0.2659459459459461,0.1902702702702703
ALDH3A1,-0.1754054054054054,-0.1845945945945945
SNAP29,-0.2627027027027026,-0.0713513513513514
NUTM2HP,-0.2164864864864863,-0.0851351351351351
SNRPGP6,0.1994594594594594,-0.1127027027027027
LPIN2,0.361081081081081,0.2391891891891892
ANXA4,-0.5486486486486488,-0.7932432432432432
ST13P18,0.4256756756756756,0.5424324324324326
RHOXF1,-0.5327027027027026,-0.4527027027027027
TROVE2,0.2267567567567567,0.1289189189189189
S100PBP,0.2716216216216215,0.2643243243243245
ST3GAL6,0.7232432432432433,0.724864864864865
USP51,0.1859459459459459,0.0986486486486485
CPSF7,0.2927027027027026,0.4535135135135134
PDE8B,0.7078378378378377,0.8337837837837838
SF3B3,0.3535135135135134,0.1986486486486486
LOX,-2.348918918918919,-1.855945945945946
