intervention,marker,rev_beta
"surgery
(BBS)",IGFBP1,0.773438025815529
"surgery
(BBS)",IGFBP2,1.00319842769127
"surgery
(BBS)",IL6,-0.693911479092718
"surgery
(BBS)",LEP,-0.695697727569106
"surgery
(BBS)",TFRC,-0.328183288636998
"diet
(DiRECT)",IGFBP1,0.477589008695946
"diet
(DiRECT)",IGFBP2,0.521891494462387
"diet
(DiRECT)",IL6,0.198312062707528
"diet
(DiRECT)",LEP,
"diet
(DiRECT)",TFRC,-0.340527318377121
"SGLT2i
(EMPEROR)",IGFBP1,0.27160134
"SGLT2i
(EMPEROR)",IGFBP2,0.003037935
"SGLT2i
(EMPEROR)",IL6,0.07632678
"SGLT2i
(EMPEROR)",LEP,0.031396207
"SGLT2i
(EMPEROR)",TFRC,0.256719163
metformin,IGFBP1,-0.053490717
metformin,IGFBP2,0.212074763
metformin,IL6,
metformin,LEP,-0.262600092
metformin,TFRC,-0.023631092
"sema-
glutide",IGFBP1,0.266326511539849
"sema-
glutide",IGFBP2,0.775431299723091
"sema-
glutide",IL6,0.102843349051987
"sema-
glutide",LEP,-0.70089922791865
"sema-
glutide",TFRC,-0.437792687263922
