ctx_a,ctx_b,rho,n_measured_both
liver,liver,0.9999999999999998,28541
liver,adipose-CR,0.10663532231326063,20838
liver,adipose-diet,-0.03330890715587817,11935
liver,blood,0.13440058830090634,11588
adipose-CR,liver,0.10663532231326063,20838
adipose-CR,adipose-CR,1.0,23179
adipose-CR,adipose-diet,0.516156354952895,11824
adipose-CR,blood,0.1936437503974456,11307
adipose-diet,liver,-0.03330890715587816,11935
adipose-diet,adipose-CR,0.516156354952895,11824
adipose-diet,adipose-diet,1.0,14325
adipose-diet,blood,-0.06188002276649981,10447
blood,liver,0.13440058830090634,11588
blood,adipose-CR,0.1936437503974456,11307
blood,adipose-diet,-0.06188002276649981,10447
blood,blood,0.9999999999999998,14647
