gene,liver,adipose-CR,adipose-diet,blood,home
SERPINE1,-1.2107889999999997,0.050755529590909,0.2046017334267149,,liver
AVPR1A,-0.9880006666666667,0.043152368590909,-0.0622248465018145,,liver
JUN,-0.9489533333333334,0.0135594812272726,0.0756044748612045,0.1067273269432074,liver
CYP1A1,0.8350930000000003,-0.0786066906818182,0.12770356456793,,liver
ANGPTL8,0.0522658333333333,-0.2449155047727274,-1.4852006713968318,,adipose
SCD,0.0287188333333333,-1.0037682052272727,-1.6079704155051704,0.0062075101016461,adipose
FADS1,-0.0809228333333332,-0.9769660767272724,-1.2360894666309683,-0.040610504396116,adipose
SEL1L2,0.0111258333333333,-0.0718337803181818,-0.7438627194368399,,adipose
VWCE,0.1082438333333333,-0.0364942493181817,0.1046277556492523,-1.8709528747441604,blood
SMIM24,-0.1560281666666666,-0.1108978769545455,-0.0641271583522548,-1.758683339257389,blood
PLVAP,-0.0889423333333332,0.0079716167272729,0.0120845632368065,-1.6643418688696026,blood
TNFRSF17,-0.0333961666666666,-0.0894448069090909,,1.6015618018066509,blood
