"feature","flabel","pooled_beta","se","ci90_lo","ci90_hi","tost_p_05","equiv05","tost_p_03","equiv03","excl0","status","I2"
"arch_nsig","cis-QTL architecture (n signals)",-0.0287218002501744,0.00471736170344282,-0.0374939609480969,-0.0199496395522519,0.00098710518598265,TRUE,0.396642215377142,FALSE,TRUE,"equivalent (±0.05 SD only)",0
"loeuf_miss","LOEUF missing",-0.0191104867572589,0.011502856059417,-0.0405006001684554,0.00227962665393764,0.0138471272284135,TRUE,0.185757684914079,FALSE,FALSE,"equivalent (±0.05 SD only)",90.3345375980705
"loeuf","LOEUF constraint",-0.0053693531146402,0.00571499179497091,-0.0159966548914375,0.0052579486621571,2.5961986226261e-05,TRUE,0.00129062410353009,TRUE,FALSE,"equivalent (±0.03 SD)",77.2752058961476
"tau_miss","τ missing",-0.0037915038465879,0.00599602428623512,-0.0149413990409957,0.00735839134781992,2.85453411918294e-05,TRUE,0.00118868090584513,TRUE,FALSE,"equivalent (±0.03 SD)",75.8035000914693
"causal_nonEGFR","genetic causal status",-0.0036167576581104,0.00146510214345473,-0.00634118547374216,-0.000892329842478643,5.3927692318591e-10,TRUE,4.63869331506996e-08,TRUE,TRUE,"rare binary (underpowered)",0
"is_enzyme","enzyme",-0.0019102644257512,0.0044031324053351,-0.0100981006490453,0.00627757179754291,2.18936176897331e-06,TRUE,0.00010687963364117,TRUE,FALSE,"equivalent (±0.03 SD)",64.4959275781627
"arch_str","cis-QTL architecture (strength)",0.0007733472005333,0.00237147306628877,-0.00363652088592225,0.00518321528698885,1.5204257297863e-08,TRUE,8.74608026590876e-07,TRUE,FALSE,"equivalent (±0.03 SD)",0
"is_membrane","membrane protein",0.0064810187990648,0.009293118947703,-0.0107999823026027,0.0237620199007323,0.000787947628459908,TRUE,0.01760590392634,TRUE,FALSE,"equivalent (±0.03 SD)",91.5962468097114
"n_gwas_log","GWAS burden (log)",0.0099216906552276,0.00844567288382884,-0.00578344378145621,0.0256268250919114,0.000726887277803679,TRUE,0.0223651982748718,TRUE,FALSE,"equivalent (±0.03 SD)",91.1195126392329
"has_arch","has cis-QTL architecture",0.0122914703543464,0.00369240275405063,0.00542527005930762,0.0191576706493852,3.62679019576025e-06,TRUE,0.00068129790700382,TRUE,TRUE,"equivalent (±0.03 SD)",0
"is_secreted","secreted protein",0.0123207088005777,0.00891226218989075,-0.00425207086452267,0.0288934884656781,0.00144248953088214,TRUE,0.041286973933395,TRUE,FALSE,"equivalent (±0.03 SD)",89.7492836730139
"n_drug_log","druggability (log drug count)",0.0203471975257062,0.00423295026255275,0.0124758231720444,0.028218571879368,5.60259630480673e-05,TRUE,0.0260195781520318,TRUE,TRUE,"equivalent (±0.03 SD)",57.7653020866341
"tau","tissue-specificity τ",0.0256021033221088,0.0152939904063016,-0.00283780652382249,0.0540420131680401,0.074660207913076,FALSE,0.390497020949996,FALSE,FALSE,"inconclusive",96.8623825115824
