kind,tissue,rho
within,liver,0.213609682953322
within,liver,0.8056499461291937
cross,cross,0.1066353223132606
cross,cross,-0.0333089071558781
cross,cross,0.0080129435197226
cross,cross,0.2435029990926728
cross,cross,-0.0753339503389395
cross,cross,0.1591937170043933
cross,cross,0.0724041040353204
cross,cross,0.0311843484990676
cross,cross,-0.0902450640785426
cross,cross,-0.0543728064501337
cross,cross,-0.0628414983558523
cross,cross,0.1344005883009063
cross,cross,-0.0555558911663324
cross,cross,-0.0374599879075866
cross,cross,0.0557561418193323
within,liver,0.2006529613946026
cross,cross,0.0726319666376182
cross,cross,-0.1472204937542143
cross,cross,-0.1014421581216522
cross,cross,0.166143934976123
cross,cross,0.2510060297752408
cross,cross,0.0916645951064561
cross,cross,0.0132234434894732
cross,cross,0.06927390254194
cross,cross,-0.2210584433611525
cross,cross,-0.1407124216727335
cross,cross,0.160319609289707
cross,cross,0.4480741079750126
cross,cross,-0.1988438759387971
cross,cross,0.0118545844588207
cross,cross,0.0289622367166184
cross,cross,0.0876032078478253
cross,cross,-0.0351827327833238
cross,cross,0.0046732676841709
cross,cross,0.2200506757472208
cross,cross,-0.0633935871599295
cross,cross,0.1399645749492649
cross,cross,0.0791063224669351
cross,cross,0.0052388869755804
cross,cross,-0.0883526918773819
cross,cross,-0.0361551566447154
cross,cross,-0.0330782965879849
cross,cross,0.0642250364823766
cross,cross,-0.0370297722836522
cross,cross,-0.0283650006580576
cross,cross,0.085828027996456
within,adipose,0.516156354952895
within,adipose,0.1437889231266928
within,adipose,0.2659672346826784
within,adipose,0.4468167221094292
within,adipose,0.3242527845324907
within,adipose,0.2144991124873272
within,adipose,0.0493083073224623
cross,cross,-0.0898794202686042
cross,cross,-0.0559274292747178
cross,cross,0.0775263769576654
cross,cross,0.1936437503974456
cross,cross,-0.0038600651517551
cross,cross,-0.03833113821386
cross,cross,-0.0033930209607086
within,adipose,0.3751528614622161
within,adipose,0.111645677623633
within,adipose,0.5482409570840358
within,adipose,0.3394461064040821
within,adipose,0.1569647525589647
within,adipose,0.0757202455905111
cross,cross,0.0008820932053503
cross,cross,-0.0299955022873281
cross,cross,0.0563651302665773
cross,cross,-0.0618800227664998
cross,cross,0.1777380514175198
cross,cross,-0.0385486061981703
cross,cross,0.0474534804163895
within,adipose,0.0866002719021923
within,adipose,0.1412952641168822
within,adipose,0.1504344703611927
within,adipose,0.0235861886163763
within,adipose,0.0340951543661563
cross,cross,0.018881374594208
cross,cross,0.0342143565481563
cross,cross,-0.0040960947084106
cross,cross,-0.1111813225644997
cross,cross,-0.0075576769058023
cross,cross,0.0083170359353742
cross,cross,-0.0018676578362804
within,adipose,0.0978633929529549
within,adipose,0.3760217576406646
within,adipose,0.1036548253137079
within,adipose,0.0501694980081061
cross,cross,-0.1723260773829723
cross,cross,-0.0598022168414759
cross,cross,0.0325969860523346
cross,cross,0.1883586924581547
cross,cross,-0.0857298291045288
cross,cross,-0.0371560696145449
cross,cross,0.0231854726851657
within,adipose,0.2754827110273684
within,adipose,0.1173447362384199
within,adipose,0.1428939029771745
cross,cross,-0.1150256801324132
cross,cross,-0.1357267598558656
cross,cross,0.2680706090011172
cross,cross,0.3976565410044876
cross,cross,0.0675918939548217
cross,cross,-0.0446689594184021
cross,cross,0.0585273910944193
within,adipose,0.1200020043987679
within,adipose,0.086532313583276
cross,cross,-0.0809858271615811
cross,cross,-0.0655795689973448
cross,cross,0.0594280900690283
cross,cross,0.1504749027657228
cross,cross,0.0274785820108519
cross,cross,-0.0179559973687139
cross,cross,0.0257016299179679
within,adipose,-0.0525254696249321
cross,cross,-0.0486859285506333
cross,cross,-0.0412032200814483
cross,cross,0.0464277030234005
cross,cross,-0.0065003656079639
cross,cross,0.0880106560367028
cross,cross,-0.0235671482320135
cross,cross,0.0967844698618802
cross,cross,0.0334701800502648
cross,cross,-0.0328957524716071
cross,cross,0.0606253320568628
cross,cross,0.1932531059852476
cross,cross,-0.0080502292162426
cross,cross,-0.0313987980026899
cross,cross,0.0083556674304636
within,muscle,0.2968139798632681
within,muscle,-0.0874779795710881
cross,cross,-0.0966332949935108
cross,cross,0.021815748774266
cross,cross,0.0182055740480868
cross,cross,-0.0218205710041823
within,muscle,-0.0425738383361666
cross,cross,-0.1687184072066531
cross,cross,-0.0655369195132526
cross,cross,0.0085580011895495
cross,cross,-0.0222799531185483
cross,cross,0.2115260340664848
cross,cross,-0.0121640839358236
cross,cross,-0.0044296734775745
cross,cross,0.1176817979194764
within,blood,-0.1293546191141202
within,blood,-0.046537535020819
within,blood,-0.0648305218796319
within,blood,0.0030939236067388
within,blood,0.0907418504600908
within,blood,-0.0650327166449781
