scope	layer	n_universe	n_nominated	beta_mv	se_mv	p_mv	beta_uni	se_uni	p_uni	mean_y_nominated	mean_y_tested_notnom	mean_y_diff	ci_halfwidth	k	Q	I2	tau2
liver_table	transcriptome	1432	9	-0.0021040842835904593	0.02410611486471124	0.930445568721942	0.007103044630086106	0.023062188652563445	0.7580859443988403	0.0794749437667252	-0.010405220332650471	0.08988016409937567					
adipose_table	transcriptome	1174	8	-0.017761839199122432	0.028827406099311163	0.5377993494178819	-0.0185154289268811	0.028797539108654537	0.5202553914130961	-0.3048630549114561	-0.07979824007901849	-0.22506481483243762					
gse141221_adipose_table	transcriptome	860	6	0.007310330166657525	0.025878099355129608	0.7775670465964735	0.0035543114514266505	0.025527796630691546	0.889266040187691	-0.025368643355127302	-0.06807075694859886	0.04270211359347156					
gse273902_blood_table	transcriptome	893	7	-0.08089127081150967	0.041773376582972914	0.052814908186341734	-0.07289926021837681	0.03999364366302429	0.06833805758983134	-0.8266281865954611	-2.8756864194320806e-06	-0.8266253109090417					
gse157585_muscle_table	transcriptome	912	6	-0.0120177692792784	0.02442310258207095	0.6226729507577187	0.0002163543866436097	0.019524135117114805	0.9911585178649268	-0.1329590532893164	-0.1356352671727137	0.0026762138833973104					
gse43471_adipose_table	transcriptome	1063	8	-0.025206816889902443	0.03046711229058681	0.4080414727534669	-0.03140921715670118	0.03068719688495915	0.30605808480352015	-0.44714001882181387	-0.08371137506936889	-0.363428643752445					
gse83352_muscle_exercise_table	transcriptome	872	9	-0.02458732833784425	0.04226780294096796	0.5607664226961607	-0.017628334226293382	0.04338528708433497	0.6845070792089053	-0.20225466661243818	-0.027832728330282733	-0.17442193828215546					
gse106737_liver_bariatric_table	transcriptome	1285	9	0.0010942993126362753	0.030532495967193617	0.9714095553744421	0.006020031846060863	0.030100834435112	0.8414840897823396	0.024512894608567364	-0.04767349554189769	0.07218639015046505					
gse77962_adipose_diet_table	transcriptome	1014	7	-0.032838642938195946	0.04312342605324118	0.44635634669422963	-0.034635816964455925	0.04428549260496911	0.43415403928425744	-0.42009638077662775	-0.001785043086133334	-0.41831133769049444					
META_nominatable_mv	transcriptome	1014	8	-0.01391742350295872									0.01666547953395638	9.0	4.142618840153149	0.0	0.0
META_nominatable_uni	transcriptome	1014	8				-0.009232867198227248						0.016920281625637027	9.0	4.770472761512966	0.0	0.0
