layer	context	tissue	intervention	rank	mark	rev_beta
transcriptome	liver/diet+surgery	liver	diet+surgery	1	SERPINE1	-1.2107889999999997
transcriptome	liver/diet+surgery	liver	diet+surgery	2	CRP	-1.2004678333333336
transcriptome	liver/diet+surgery	liver	diet+surgery	3	MT1H	-1.0355541666666666
transcriptome	liver/diet+surgery	liver	diet+surgery	4	AVPR1A	-0.9880006666666667
transcriptome	liver/diet+surgery	liver	diet+surgery	5	JUN	-0.9489533333333334
transcriptome	liver/diet+surgery	liver	diet+surgery	6	SRGN	-0.9030305
transcriptome	liver/diet+surgery	liver	diet+surgery	7	UPP2	-0.9019976666666668
transcriptome	liver/diet+surgery	liver	diet+surgery	8	MT1M	-0.8707978333333333
transcriptome	liver/diet+surgery	liver	diet+surgery	9	SAA1	-0.8495713333333332
transcriptome	liver/diet+surgery	liver	diet+surgery	10	CXCL10	-0.8371089999999999
transcriptome	liver/diet+surgery	liver	diet+surgery	11	CYP1A1	0.8350930000000003
transcriptome	liver/diet+surgery	liver	diet+surgery	12	GADD45B	-0.8324163333333331
transcriptome	liver/diet+surgery	liver	diet+surgery	13	DDIT4	-0.7433701666666666
transcriptome	liver/diet+surgery	liver	diet+surgery	14	S100A8	-0.7388271666666666
transcriptome	liver/diet+surgery	liver	diet+surgery	15	IGFBP2	0.7373136666666669
transcriptome	liver/diet+surgery	liver	diet+surgery	16	CMYA5	0.7229390000000002
transcriptome	liver/diet+surgery	liver	diet+surgery	17	PLA2G7	-0.7029265
transcriptome	liver/diet+surgery	liver	diet+surgery	18	MT1A	-0.7004204999999998
transcriptome	liver/diet+surgery	liver	diet+surgery	19	MT1F	-0.6989746666666666
transcriptome	liver/diet+surgery	liver	diet+surgery	20	SAA2	-0.6937613333333328
transcriptome	liver/diet+surgery	liver	diet+surgery	21	APOA4	-0.6928885
transcriptome	liver/diet+surgery	liver	diet+surgery	22	LAPTM5	-0.6921164999999999
transcriptome	liver/diet+surgery	liver	diet+surgery	23	DUSP1	-0.674232
transcriptome	liver/diet+surgery	liver	diet+surgery	24	MT1JP	-0.6630854999999999
transcriptome	liver/diet+surgery	liver	diet+surgery	25	GADD45G	-0.6575716666666668
transcriptome	adipose/caloric-restriction	adipose	caloric-restriction	1	FADS2	-1.1429960850909089
transcriptome	adipose/caloric-restriction	adipose	caloric-restriction	2	SCD	-1.0037682052272727
transcriptome	adipose/caloric-restriction	adipose	caloric-restriction	3	FADS1	-0.9769660767272724
transcriptome	adipose/caloric-restriction	adipose	caloric-restriction	4	C6	0.900452923590909
transcriptome	adipose/caloric-restriction	adipose	caloric-restriction	5	SLC27A2	0.7636991619545451
transcriptome	adipose/caloric-restriction	adipose	caloric-restriction	6	OFD1P6Y	-0.7371969523636364
transcriptome	adipose/caloric-restriction	adipose	caloric-restriction	7	CCDC162P	-0.6977694051363637
transcriptome	adipose/caloric-restriction	adipose	caloric-restriction	8	SPAG5	-0.6690591049090909
transcriptome	adipose/caloric-restriction	adipose	caloric-restriction	9	OLFM2	-0.656921278409091
transcriptome	adipose/caloric-restriction	adipose	caloric-restriction	10	TMEM120B	-0.5678097322727275
transcriptome	adipose/caloric-restriction	adipose	caloric-restriction	11	LRRN3	-0.5562076865909092
transcriptome	adipose/caloric-restriction	adipose	caloric-restriction	12	CES1P1	-0.5526030691818182
transcriptome	adipose/caloric-restriction	adipose	caloric-restriction	13	NNAT	-0.5486894858636364
transcriptome	adipose/caloric-restriction	adipose	caloric-restriction	14	CES1	-0.5417661382727273
transcriptome	adipose/caloric-restriction	adipose	caloric-restriction	15	KANK4	-0.5344184689090908
transcriptome	adipose/caloric-restriction	adipose	caloric-restriction	16	VLDLR	-0.5124640114545455
transcriptome	adipose/caloric-restriction	adipose	caloric-restriction	17	SLC29A4	-0.5056657457272725
transcriptome	adipose/caloric-restriction	adipose	caloric-restriction	18	LAMB3	-0.493282169181818
transcriptome	adipose/caloric-restriction	adipose	caloric-restriction	19	ME1	-0.4514367079545457
transcriptome	adipose/caloric-restriction	adipose	caloric-restriction	20	SFRP4	-0.4405379312727271
transcriptome	adipose/caloric-restriction	adipose	caloric-restriction	21	TENM4	-0.4393117299545453
transcriptome	adipose/caloric-restriction	adipose	caloric-restriction	22	SLC24A3	-0.4357997441818182
transcriptome	adipose/caloric-restriction	adipose	caloric-restriction	23	DSEL	-0.4357796162272725
transcriptome	adipose/caloric-restriction	adipose	caloric-restriction	24	NPM1	0.4348823121363636
transcriptome	adipose/caloric-restriction	adipose	caloric-restriction	25	HSPB7	-0.4286338345
transcriptome	adipose/low-cal-diet	adipose	low-cal-diet	1	SCD	-1.6079704155051704
transcriptome	adipose/low-cal-diet	adipose	low-cal-diet	2	FADS2	-1.505706112269156
transcriptome	adipose/low-cal-diet	adipose	low-cal-diet	3	ANGPTL8	-1.4852006713968318
transcriptome	adipose/low-cal-diet	adipose	low-cal-diet	4	FADS1	-1.2360894666309683
transcriptome	adipose/low-cal-diet	adipose	low-cal-diet	5	SAA2	-1.0314395991914502
transcriptome	adipose/low-cal-diet	adipose	low-cal-diet	6	ALDOC	-0.993383170986348
transcriptome	adipose/low-cal-diet	adipose	low-cal-diet	7	CHIT1	0.9721181293015524
transcriptome	adipose/low-cal-diet	adipose	low-cal-diet	8	P2RX6	-0.9214658599472528
transcriptome	adipose/low-cal-diet	adipose	low-cal-diet	9	ELOVL6	-0.9052577043239842
transcriptome	adipose/low-cal-diet	adipose	low-cal-diet	10	STC1	-0.8862046711024437
transcriptome	adipose/low-cal-diet	adipose	low-cal-diet	11	GPAM	-0.8663244822448761
transcriptome	adipose/low-cal-diet	adipose	low-cal-diet	12	SFRP2	-0.8458039623874355
