scope	layer	feature	beta	se	p	ci_halfwidth	k	Q	I2	tau2	n	n_min
liver_table	transcriptome	loeuf	-0.004923669475327279	0.009173474541987732	0.5914548469615921		1				15907	15907
liver_table	transcriptome	tau	-0.05130049163746674	0.008984105327585257	1.1288383396905816e-08		1				15907	15907
liver_table	transcriptome	n_drug_log	0.016641843247414023	0.008567869743477716	0.05209415859495107		1				15907	15907
liver_table	transcriptome	n_gwas_log	0.034929497602154955	0.008486429870247274	3.856319168604532e-05		1				15907	15907
liver_table	transcriptome	is_secreted	-0.0023426295737332104	0.008544043186137938	0.7839441553586801		1				15907	15907
liver_table	transcriptome	is_enzyme	0.0078018947402944735	0.008161043450584639	0.33907612213035876		1				15907	15907
liver_table	transcriptome	is_membrane	0.04109926636832319	0.008295234602350524	7.249284991085146e-07		1				15907	15907
liver_table	transcriptome	arch_nsig	-0.008997840726332595	0.025179493398244754	0.7208313262773739		1				15907	15907
liver_table	transcriptome	arch_str	-0.005754828711557108	0.011906484837746477	0.6288574237141253		1				15907	15907
liver_table	transcriptome	causal_nonEGFR	-0.003478221822676442	0.005253396905196149	0.5079135118125963		1				15907	15907
liver_table	transcriptome	has_arch	-0.014492099630543926	0.02430357470555714	0.5509781830194918		1				15907	15907
adipose_table	transcriptome	loeuf	-0.02344875418009787	0.00903808064071	0.00947452635236783		1				15767	15767
adipose_table	transcriptome	tau	-0.004929262088820937	0.008808298507511017	0.5757415972764701		1				15767	15767
adipose_table	transcriptome	n_drug_log	0.012316378942776136	0.008259020504435912	0.13589222872216095		1				15767	15767
adipose_table	transcriptome	n_gwas_log	-0.007236582458702556	0.008398640473548522	0.38888710198608734		1				15767	15767
adipose_table	transcriptome	is_secreted	-0.012292923664761	0.00820515515743256	0.13408255528035268		1				15767	15767
adipose_table	transcriptome	is_enzyme	-0.01161144331995124	0.008116568720888886	0.15254912337956414		1				15767	15767
adipose_table	transcriptome	is_membrane	-0.005453707489567092	0.008059817893228963	0.498625550271917		1				15767	15767
adipose_table	transcriptome	arch_nsig	-0.034684922933028946	0.023135659638315747	0.13382240518835906		1				15767	15767
adipose_table	transcriptome	arch_str	-0.008262434352491027	0.01163538902203023	0.47763441986965693		1				15767	15767
adipose_table	transcriptome	causal_nonEGFR	-0.0051317426988899805	0.007830970275579517	0.512265753219543		1				15767	15767
adipose_table	transcriptome	has_arch	0.01723745220991318	0.024261495764143208	0.4774028318042641		1				15767	15767
gse141221_adipose_table	transcriptome	loeuf	-0.005605727021057261	0.009617939119021817	0.560000497827551		1				12198	12198
gse141221_adipose_table	transcriptome	tau	0.11048863913496336	0.009638489320390204	2.017427517250921e-30		1				12198	12198
gse141221_adipose_table	transcriptome	n_drug_log	0.04192386279351922	0.009549021301554824	1.1315107569871778e-05		1				12198	12198
gse141221_adipose_table	transcriptome	n_gwas_log	-0.02606326961281296	0.009614763543275916	0.00671301814229391		1				12198	12198
gse141221_adipose_table	transcriptome	is_secreted	0.025409406709299653	0.009604645507824647	0.00815623294202725		1				12198	12198
gse141221_adipose_table	transcriptome	is_enzyme	0.006357100295831906	0.009291649145830128	0.49386560168076277		1				12198	12198
gse141221_adipose_table	transcriptome	is_membrane	0.0027417850659509635	0.009123887650409125	0.7637910462893474		1				12198	12198
gse141221_adipose_table	transcriptome	arch_nsig	-0.04636735415388881	0.0297134780762361	0.11864596904726958		1				12198	12198
gse141221_adipose_table	transcriptome	arch_str	0.002959848114419019	0.012933444813364108	0.8189837444826226		1				12198	12198
gse141221_adipose_table	transcriptome	causal_nonEGFR	-0.00013923955335261992	0.006441492792660449	0.9827542400012044		1				12198	12198
gse141221_adipose_table	transcriptome	has_arch	0.022534301212617926	0.028984307335647656	0.43688413622221733		1				12198	12198
gse273902_blood_table	transcriptome	loeuf	0.021592057841421784	0.010396069550316446	0.0378066964338086		1				10681	10681
gse273902_blood_table	transcriptome	tau	0.027479755856161702	0.011155006863857555	0.013760866296585916		1				10681	10681
gse273902_blood_table	transcriptome	n_drug_log	0.0477529274470728	0.010380609382197427	4.220760907917708e-06		1				10681	10681
gse273902_blood_table	transcriptome	n_gwas_log	-0.036193064191667866	0.010092566126642288	0.0003356459075084816		1				10681	10681
gse273902_blood_table	transcriptome	is_secreted	0.010533669925917935	0.011035896433044376	0.33983488300675824		1				10681	10681
gse273902_blood_table	transcriptome	is_enzyme	-0.03349484653340481	0.009614336277776785	0.0004942677235550316		1				10681	10681
gse273902_blood_table	transcriptome	is_membrane	-0.049218849466538754	0.009687084126453879	3.757031650170103e-07		1				10681	10681
gse273902_blood_table	transcriptome	arch_nsig	-0.014230855567563613	0.028610964268126773	0.6189128719620277		1				10681	10681
gse273902_blood_table	transcriptome	arch_str	-0.004068221616898708	0.014049449517458205	0.7721494401445991		1				10681	10681
gse273902_blood_table	transcriptome	causal_nonEGFR	-0.020394509211599673	0.011688069141851762	0.081002316611251		1				10681	10681
gse273902_blood_table	transcriptome	has_arch	0.026194288085629496	0.028175508920425432	0.352535304647296		1				10681	10681
gse157585_muscle_table	transcriptome	loeuf	-0.02158099845392767	0.0095640590361106	0.024041302585237272		1				11628	11628
gse157585_muscle_table	transcriptome	tau	0.09300468375341052	0.009643420942982338	5.193095295106476e-22		1				11628	11628
gse157585_muscle_table	transcriptome	n_drug_log	0.015609260122107716	0.009915405050610391	0.11543120886740203		1				11628	11628
