scenario	k	feature	pooled_beta	ci_halfwidth	ci_lo	ci_hi	I2	tau2	ci_excludes_0	exceeds_SESOI	ci_within_SESOI	n_genes_median	n_genes_min
k9_canonical	9	arch_nsig	-0.02872180025017442	0.01087825559539299	-0.03960005584556741	-0.017843544654781433	0.0	0.0	True	False	True	18615	14009
k9_canonical	9	arch_str	0.000773347200533379	0.005468626697387284	-0.004695279496853905	0.006241973897920663	0.0	0.0	False	False	True	18615	14009
k9_canonical	9	causal_nonEGFR	-0.0036167576581104493	0.0033785316013031598	-0.006995289259413609	-0.00023822605680728958	0.0	0.0	True	False	True	18615	14009
k9_canonical	9	has_arch	0.012291470354346468	0.008514696019680029	0.0037767743346664388	0.020806166374026498	0.0	0.0	True	False	True	18615	14009
k9_canonical	9	is_enzyme	-0.0019102644257512774	0.010153641534554286	-0.012063905960305564	0.008243377108803008	64.49592757816266	0.00010534535558339852	False	False	True	18615	14009
k9_canonical	9	is_membrane	0.006481018799064801	0.021429970722347386	-0.014948951923282584	0.02791098952141219	91.59624680971136	0.0006410526735447918	False	False	True	18615	14009
k9_canonical	9	is_secreted	0.012320708800577708	0.02055171346391186	-0.008231004663334152	0.03287242226448957	89.74928367301395	0.000525657351646599	False	False	True	18615	14009
k9_canonical	9	loeuf	-0.005369353114640234	0.013178794711860823	-0.018548147826501056	0.007809441597220588	77.2752058961476	0.0002146921578835359	False	False	True	18615	14009
k9_canonical	9	loeuf_miss	-0.019110486757258995	0.02652563363967387	-0.045636120396932864	0.007415146882414875	90.33453759807053	0.0009769167944372746	False	False	True	18615	14009
k9_canonical	9	n_drug_log	0.020347197525706236	0.009761200809560227	0.010585996716146009	0.030108398335266462	57.765302086634144	8.494503484547258e-05	True	False	True	18615	14009
k9_canonical	9	n_gwas_log	0.009921690655227602	0.01947575659469107	-0.00955406593946347	0.029397447249918673	91.1195126392329	0.000630005503572288	False	False	True	18615	14009
k9_canonical	9	tau	0.025602103322108823	0.03526800512070435	-0.009665901798595524	0.06087010844281317	96.86238251158241	0.002084554577160393	False	False	False	18615	14009
k9_canonical	9	tau_miss	-0.0037915038465879737	0.013826856798842886	-0.01761836064543086	0.010035352952254913	75.80350009146927	0.000279530879281854	False	False	True	18615	14009
k6_strict	6	arch_nsig	-0.029266028246147	0.012895471706105565	-0.04216149995225257	-0.016370556540041437	0.0	0.0	True	False	True	20897	14231
k6_strict	6	arch_str	0.002057058585586444	0.006468681245329354	-0.00441162265974291	0.008525739830915797	0.0	0.0	False	False	True	20897	14231
k6_strict	6	causal_nonEGFR	-0.003164535631386603	0.0054807501317002735	-0.008645285763086877	0.0023162145003136703	0.0	0.0	False	False	True	20897	14231
k6_strict	6	has_arch	0.015162491140068944	0.011369463705500375	0.0037930274345685695	0.02653195484556932	0.0	0.0	True	False	True	20897	14231
k6_strict	6	is_enzyme	-0.0044206156329135845	0.015075449652217401	-0.019496065285130985	0.010654834019303817	70.60918219995484	0.00013207544965231663	False	False	True	20897	14231
k6_strict	6	is_membrane	-0.0037026237473863992	0.030212913545681036	-0.033915537293067434	0.026510289798294638	92.87530267640275	0.000727465418895695	False	False	True	20897	14231
k6_strict	6	is_secreted	0.0070023883829013625	0.02077225510242468	-0.013769866719523318	0.02777464348532604	84.11659591593833	0.0002974961699058509	False	False	True	20897	14231
k6_strict	6	loeuf	-0.005999985588626817	0.021574729226324016	-0.027574714814950833	0.0155747436376972	84.32111360627678	0.000319454621579391	False	False	True	20897	14231
k6_strict	6	loeuf_miss	-0.013643776676907719	0.037144611516354564	-0.050788388193262285	0.023500834839446844	91.562079719213	0.0011160300285850183	False	False	False	20897	14231
k6_strict	6	n_drug_log	0.023425037704553307	0.015365122678010714	0.008059915026542594	0.03879016038256402	69.79216334638784	0.00013563620144743516	True	False	True	20897	14231
k6_strict	6	n_gwas_log	0.008970454209930387	0.03318205251563448	-0.024211598305704095	0.04215250672556487	94.33167313641434	0.000958229258815168	False	False	True	20897	14231
k6_strict	6	tau	0.015239945388024026	0.05282721999831452	-0.037587274610290496	0.06806716538633854	97.34901071752576	0.002382747085569614	False	False	False	20897	14231
k6_strict	6	tau_miss	-0.011073574113843378	0.017732655730903258	-0.028806229844746636	0.00665908161705988	74.05849602923277	0.00024112421729870212	False	False	True	20897	14231
k7_keepdietex	7	arch_nsig	-0.02617801992614781	0.012534195722517539	-0.03871221564866535	-0.013643824203630273	0.0	0.0	True	False	True	19564	14231
k7_keepdietex	7	arch_str	0.000555512538848193	0.006527742224396581	-0.005972229685548388	0.007083254763244774	0.0	0.0	False	False	True	19564	14231
k7_keepdietex	7	causal_nonEGFR	-0.0037759206894873343	0.004686196100229807	-0.008462116789717141	0.0009102754107424729	0.0	0.0	False	False	True	19564	14231
k7_keepdietex	7	has_arch	0.012147446060210142	0.011539938457367229	0.0006075076028429129	0.02368738451757737	0.0	0.0	True	False	True	19564	14231
k7_keepdietex	7	is_enzyme	-0.0025752761876713277	0.012919032302171167	-0.015494308489842495	0.01034375611449984	69.06441457274394	0.00012292587520047103	False	False	True	19564	14231
k7_keepdietex	7	is_membrane	-0.00010818536713595171	0.025810238310334025	-0.025918423677469975	0.025702052943198075	92.23428628428378	0.0006608951187295012	False	False	True	19564	14231
k7_keepdietex	7	is_secreted	0.007608357449933611	0.016761351806100156	-0.009152994356166545	0.024369709256033767	81.67961040382156	0.0002488023865640172	False	False	True	19564	14231
k7_keepdietex	7	loeuf	-0.004601766457795115	0.0176896159790159	-0.022291382436811013	0.013087849521220784	82.02242348133747	0.0002733812419916927	False	False	True	19564	14231
k7_keepdietex	7	loeuf_miss	-0.013519864593545842	0.029833341847203623	-0.04335320644074946	0.016313477253657782	89.9182467180746	0.0008972063489541385	False	False	True	19564	14231
k7_keepdietex	7	n_drug_log	0.0226880057912567	0.012382683106798827	0.010305322684457873	0.03507068889805553	63.91599661282087	0.00010395744560002742	True	False	True	19564	14231
k7_keepdietex	7	n_gwas_log	0.00850651448424026	0.026724693342112537	-0.018218178857872275	0.0352312078263528	93.30296654947273	0.0008031649563519885	False	False	True	19564	14231
k7_keepdietex	7	tau	0.01504030638569895	0.04249292315289489	-0.027452616767195945	0.05753322953859384	96.82464225984673	0.001970566327729898	False	False	False	19564	14231
k7_keepdietex	7	tau_miss	-0.007862710101277192	0.016211966372529096	-0.02407467647380629	0.008349256271251904	75.77692463157227	0.0002639961022761176	False	False	True	19564	14231
