panel	layer	feature	beta	se	p	n	loeuf_cc	p_bonf
liver_table	transcriptome	loeuf	-0.002963598528173825	0.006652732591115128	0.6559795117038831	28541	-0.043147857486524076	1.0
liver_table	transcriptome	tau	-0.04693037244891476	0.007142834964081963	5.022324911509753e-11	28541		6.529022384962679e-10
liver_table	transcriptome	n_drug_log	0.013826917218075174	0.006640760746903112	0.03733073387588636	28541		0.4852995403865227
liver_table	transcriptome	n_gwas_log	0.05381810232502149	0.0063098694179524375	1.4737047600065485e-17	28541		1.915816188008513e-16
liver_table	transcriptome	is_secreted	-0.015973371871383778	0.006276170764229164	0.01092519480685522	28541		0.14202753248911787
liver_table	transcriptome	is_enzyme	0.004609702908642107	0.0063897218789812655	0.470648281271566	28541		1.0
liver_table	transcriptome	is_membrane	0.025389706720129565	0.006545015024944633	0.00010478184342950012	28541		0.0013621639645835016
liver_table	transcriptome	arch_nsig	-0.017174066259431492	0.018111569119237142	0.34300863814858185	28541		1.0
liver_table	transcriptome	arch_str	0.0023711962077683306	0.008828331222343746	0.7882456683311531	28541		1.0
liver_table	transcriptome	causal_nonEGFR	-0.00013240539342851635	0.0054984813380797234	0.980788511644601	28541		1.0
liver_table	transcriptome	has_arch	0.0021741069862888152	0.01764205992162924	0.9019215614464726	28541		1.0
liver_table	transcriptome	loeuf_miss	0.016381988140570097	0.009467178896523033	0.08355917750085591	28541		1.0
liver_table	transcriptome	tau_miss	-0.04085793259313459	0.008037429703726454	3.706254685499977e-07	28541		4.8181310911499705e-06
adipose_table	transcriptome	loeuf	-0.018578590786774523	0.007294708742878102	0.010869750602985917	23179	-0.02619556250173875	0.14130675783881694
adipose_table	transcriptome	tau	-0.0036756560306948414	0.007569099851004264	0.6272413204411411	23179		1.0
adipose_table	transcriptome	n_drug_log	0.007952930419189022	0.006972285132801001	0.25401599644998574	23179		1.0
adipose_table	transcriptome	n_gwas_log	-0.002462888857460209	0.007331901163310124	0.736935656672166	23179		1.0
adipose_table	transcriptome	is_secreted	-0.010248255623352248	0.006791978484719586	0.13133038774200606	23179		1.0
adipose_table	transcriptome	is_enzyme	-0.011087001993844083	0.006940088931801045	0.11014756065646927	23179		1.0
adipose_table	transcriptome	is_membrane	-0.005853917306070666	0.006949390934247848	0.3995841921903084	23179		1.0
adipose_table	transcriptome	arch_nsig	-0.03617194115637796	0.019411199071796774	0.06239795083061673	23179		0.8111733607980175
adipose_table	transcriptome	arch_str	-0.0012568500583763275	0.009911820844384476	0.8990962062738553	23179		1.0
adipose_table	transcriptome	causal_nonEGFR	-0.004703355866696006	0.006463899400876613	0.466837388056761	23179		1.0
adipose_table	transcriptome	has_arch	0.018929568570236272	0.020307453862602447	0.3512596357844381	23179		1.0
adipose_table	transcriptome	loeuf_miss	-0.0005649383092986566	0.010399971672656133	0.9566793077405549	23179		1.0
adipose_table	transcriptome	tau_miss	0.00345713038404023	0.009397883379954569	0.71297564346035	23179		1.0
gse141221_adipose_table	transcriptome	loeuf	0.0008013685559671544	0.008850064297184313	0.9278505907914842	14231	0.015882131594126176	1.0
gse141221_adipose_table	transcriptome	tau	0.098963063327986	0.009026636858865721	5.727480128783953e-28	14231		7.445724167419139e-27
gse141221_adipose_table	transcriptome	n_drug_log	0.03913584930387207	0.00894079502442086	1.202012424345231e-05	14231		0.00015626161516488004
gse141221_adipose_table	transcriptome	n_gwas_log	-0.003978926113289427	0.009310593378631039	0.6691209755739144	14231		1.0
gse141221_adipose_table	transcriptome	is_secreted	0.02470390786477206	0.008875571580743067	0.0053799132060093615	14231		0.0699388716781217
gse141221_adipose_table	transcriptome	is_enzyme	0.00562264685771788	0.008780588965037785	0.5219453245363492	14231		1.0
gse141221_adipose_table	transcriptome	is_membrane	0.0056976257362855625	0.008666766648363742	0.5109168283539983	14231		1.0
gse141221_adipose_table	transcriptome	arch_nsig	-0.04766788810140888	0.027426870469867266	0.08221089584985233	14231		1.0
gse141221_adipose_table	transcriptome	arch_str	0.005619927717154829	0.01204640180128961	0.6408409382823828	14231		1.0
gse141221_adipose_table	transcriptome	causal_nonEGFR	-0.0010456973086600274	0.005944593095229483	0.8603667718404104	14231		1.0
gse141221_adipose_table	transcriptome	has_arch	0.02350069190075282	0.026594329481069493	0.3768727395154533	14231		1.0
gse141221_adipose_table	transcriptome	loeuf_miss	-0.05373941790259883	0.009845771236484939	4.811977323496795e-08	14231		6.255570520545834e-07
gse141221_adipose_table	transcriptome	tau_miss	0.0015469024808946034	0.00885121673218091	0.8612625519417842	14231		1.0
gse273902_blood_table	transcriptome	loeuf	0.021679700548439002	0.008788414747509606	0.013630746027833996	14647	0.03461499422638703	0.17719969836184196
gse273902_blood_table	transcriptome	tau	0.010259471375002537	0.010072797680068295	0.3084249841104303	14647		1.0
gse273902_blood_table	transcriptome	n_drug_log	0.04547676467599612	0.00909216197101286	5.681082132621305e-07	14647		7.3854067724076965e-06
gse273902_blood_table	transcriptome	n_gwas_log	-0.03928895769148705	0.008803830984488364	8.092898650605036e-06	14647		0.00010520768245786546
gse273902_blood_table	transcriptome	is_secreted	0.03621896532423296	0.009652074374980446	0.00017511195432157357	14647		0.0022764554061804566
gse273902_blood_table	transcriptome	is_enzyme	-0.028231809830374537	0.008522403705196411	0.0009241387086208982	14647		0.012013803212071676
gse273902_blood_table	transcriptome	is_membrane	-0.04739720088417336	0.008741387997678728	5.888327050980303e-08	14647		7.654825166274394e-07
gse273902_blood_table	transcriptome	arch_nsig	-0.03198179066987548	0.025718245904261295	0.21366714703958267	14647		1.0
gse273902_blood_table	transcriptome	arch_str	-0.0011626918550914935	0.012519178206426382	0.9260045690106826	14647		1.0
gse273902_blood_table	transcriptome	causal_nonEGFR	-0.016635726547525036	0.009971215835485584	0.09524132125500537	14647		1.0
gse273902_blood_table	transcriptome	has_arch	0.03401369772035176	0.025119646611435766	0.17571483569764146	14647		1.0
gse273902_blood_table	transcriptome	loeuf_miss	0.028446835493798173	0.013327826306336995	0.03281052396153562	14647		0.4265368114999631
gse273902_blood_table	transcriptome	tau_miss	-0.008954082453126958	0.01256124115806115	0.47594835202139907	14647		1.0
gse157585_muscle_table	transcriptome	loeuf	-0.015948501012634602	0.008672089597623101	0.06590622725489972	14009	-0.013640414727099624	0.8567809543136964
gse157585_muscle_table	transcriptome	tau	0.08051364240176614	0.008835848339421961	8.075964014024836e-20	14009		1.0498753218232288e-18
gse157585_muscle_table	transcriptome	n_drug_log	0.015000645258247689	0.009151569553916838	0.10118543625948095	14009		1.0
gse157585_muscle_table	transcriptome	n_gwas_log	0.01903961501625484	0.00899725620773781	0.03433137844382955	14009		0.4463079197697842
gse157585_muscle_table	transcriptome	is_secreted	0.06888236806641589	0.009824907763054124	2.3663110974406968e-12	14009		3.076204426672906e-11
gse157585_muscle_table	transcriptome	is_enzyme	-0.009784433993788234	0.00861644169534588	0.2561433106553874	14009		1.0
gse157585_muscle_table	transcriptome	is_membrane	0.03812087818850131	0.008737195256908234	1.282576926508552e-05	14009		0.00016673500044611176
gse157585_muscle_table	transcriptome	arch_nsig	-0.04906374251039725	0.021815988715574518	0.024513709606895664	14009		0.31867822488964365
gse157585_muscle_table	transcriptome	arch_str	-0.005778196482337546	0.01239003089998871	0.6409588966725135	14009		1.0
gse157585_muscle_table	transcriptome	causal_nonEGFR	-0.0025908637359670673	0.005400099411540306	0.6313833035361873	14009		1.0
gse157585_muscle_table	transcriptome	has_arch	0.013089453206724267	0.023046282016844936	0.5700595694734143	14009		1.0
gse157585_muscle_table	transcriptome	loeuf_miss	-0.0732973562537411	0.011746238410670448	4.3737361359873157e-10	14009		5.6858569767835105e-09
gse157585_muscle_table	transcriptome	tau_miss	0.001604057887716636	0.011466135271119133	0.8887427524444707	14009		1.0
gse43471_adipose_table	transcriptome	loeuf	0.003970739521601219	0.007985322646345643	0.6190094253084428	19564	0.006365107861306852	1.0
gse43471_adipose_table	transcriptome	tau	0.014046858228752278	0.007982297472755853	0.07844998624243549	19564		1.0
gse43471_adipose_table	transcriptome	n_drug_log	0.01929811456463666	0.007694155172206529	0.012136427461328444	19564		0.15777355699726978
gse43471_adipose_table	transcriptome	n_gwas_log	0.005337213275585385	0.007675430134070132	0.4868275846865454	19564		1.0
gse43471_adipose_table	transcriptome	is_secreted	0.012001395468124213	0.007385229219133524	0.10415107672436089	19564		1.0
gse43471_adipose_table	transcriptome	is_enzyme	0.008430264380551288	0.007492645470935637	0.2605303210608869	19564		1.0
gse43471_adipose_table	transcriptome	is_membrane	0.02122092823662967	0.007429667146090026	0.00428688089570667	19564		0.05572945164418671
gse43471_adipose_table	transcriptome	arch_nsig	-0.009557713068813107	0.020367040071541397	0.6388741233191564	19564		1.0
gse43471_adipose_table	transcriptome	arch_str	-0.009529133463674457	0.01102367490005249	0.38735479864504896	19564		1.0
gse43471_adipose_table	transcriptome	causal_nonEGFR	-0.007655312610943451	0.007111759156002755	0.2817348844034391	19564		1.0
gse43471_adipose_table	transcriptome	has_arch	-0.004618086062203931	0.020649084552006817	0.8230327334396662	19564		1.0
