feature	pooled_beta	se	tost_p_05	equiv_05	tost_p_03	equiv_03	ci90_lo	ci90_hi	k	df	I2
causal_nonEGFR	-0.0036167576581104	0.0014651021434547325	5.392769231859101e-10	True	4.638693315069964e-08	True	-0.0063411854737421575	-0.0008923298424786427	9	8	0.0
arch_str	0.0007733472005333	0.0023714730662887673	1.520425729786297e-08	True	8.746080265908756e-07	True	-0.0036365208859222547	0.005183215286988854	9	8	0.0
has_arch	0.0122914703543464	0.0036924027540506284	3.626790195760247e-06	True	0.0006812979070038202	True	0.005425270059307616	0.019157670649385183	9	8	0.0
n_drug_log	0.0203471975257062	0.00423295026255275	5.602596304806726e-05	True	0.026019578152031837	True	0.012475823172044436	0.028218571879367965	9	8	57.765302086634144
is_enzyme	-0.0019102644257512	0.004403132405335097	2.189361768973306e-06	True	0.00010687963364117016	True	-0.010098100649045311	0.006277571797542911	9	8	64.49592757816266
loeuf	-0.0053693531146402	0.005714991794970911	2.596198622626105e-05	True	0.0012906241035300931	True	-0.015996654891437503	0.005257948662157102	9	8	77.2752058961476
tau_miss	-0.0037915038465879	0.005996024286235122	2.8545341191829444e-05	True	0.001188680905845133	True	-0.014941399040995722	0.007358391347819921	9	8	75.80350009146927
n_gwas_log	0.0099216906552276	0.008445672883828841	0.0007268872778036787	True	0.02236519827487179	True	-0.005783443781456206	0.025626825091911408	9	8	91.1195126392329
is_secreted	0.0123207088005777	0.008912262189890748	0.0014424895308821355	True	0.04128697393339499	True	-0.004252070864522667	0.028893488465678067	9	8	89.74928367301395
is_membrane	0.0064810187990648	0.009293118947702999	0.000787947628459908	True	0.01760590392634	True	-0.010799982302602653	0.023762019900732255	9	8	91.59624680971136
arch_nsig	-0.0287218002501744	0.004717361703442815	0.0009871051859826501	True	0.3966422153771419	False	-0.0374939609480969	-0.019949639552251902	9	8	0.0
loeuf_miss	-0.0191104867572589	0.011502856059416958	0.013847127228413456	True	0.18575768491407904	False	-0.04050060016845544	0.0022796266539376366	9	8	90.33453759807053
tau	0.0256021033221088	0.015293990406301586	0.07466020791307597	False	0.3904970209499963	False	-0.0028378065238224906	0.05404201316804009	9	8	96.8623825115824
