a	b	n	rho	p	ca	cb	ma	mb
metformin	dapagliflozin	7						
metformin	empagliflozin	356	0.29598316933989927	1.2481243635180689e-08	DRUG	DRUG	biguanide	SGLT2i
metformin	liraglutide	11						
metformin	semaglutide	344	0.2914986130231379	3.652801973334786e-08	DRUG	DRUG	biguanide	GLP1RA
metformin	BBS	356	0.24616675598867493	2.5906267666208164e-06	DRUG	SURGERY	biguanide	bariatric
metformin	MS_bariatric	79	-0.059664070107108086	0.6014483226630325	DRUG	SURGERY	biguanide	bariatric
metformin	DiRECT	290	0.025920436136228606	0.660243805728491	DRUG	DIET	biguanide	diet
dapagliflozin	empagliflozin	12						
dapagliflozin	liraglutide	1						
dapagliflozin	semaglutide	34	0.4219454531280718	0.012932638521598568	DRUG	DRUG	SGLT2i	GLP1RA
dapagliflozin	BBS	12						
dapagliflozin	MS_bariatric	26						
dapagliflozin	DiRECT	31	0.12947464543221007	0.48756256345708693	DRUG	DIET	SGLT2i	diet
empagliflozin	liraglutide	20						
empagliflozin	semaglutide	1115	0.05040881268372418	0.09248871573308173	DRUG	DRUG	SGLT2i	GLP1RA
empagliflozin	BBS	1272	0.004018449525655044	0.8861495134200562	DRUG	SURGERY	SGLT2i	bariatric
empagliflozin	MS_bariatric	120	-0.04291964719772206	0.6416059304584969	DRUG	SURGERY	SGLT2i	bariatric
empagliflozin	DiRECT	883	0.0821926470736391	0.014563503014574196	DRUG	DIET	SGLT2i	diet
liraglutide	semaglutide	87	-0.2916679965917778	0.0061249024216747	DRUG	DRUG	GLP1RA	GLP1RA
liraglutide	BBS	23						
liraglutide	MS_bariatric	22						
liraglutide	DiRECT	65	0.15066382582723176	0.2309270446436906	DRUG	DIET	GLP1RA	diet
semaglutide	BBS	1253	0.3189973853173833	4.938244653672271e-31	DRUG	SURGERY	GLP1RA	bariatric
semaglutide	MS_bariatric	324	0.19630070651742484	0.00037884299917738065	DRUG	SURGERY	GLP1RA	bariatric
semaglutide	DiRECT	4113	0.30523113226543885	2.0306174456248658e-89	DRUG	DIET	GLP1RA	diet
BBS	MS_bariatric	125	0.17752995391705065	0.04762857845728117	SURGERY	SURGERY	bariatric	bariatric
BBS	DiRECT	976	0.20296718600962105	1.558914391881067e-10	SURGERY	DIET	bariatric	diet
MS_bariatric	DiRECT	276	0.1236694681868124	0.040061436875606066	SURGERY	DIET	bariatric	diet
