a	b	U	obs	exp	fold	p	samedir	ca	cb	na	nb
metformin	dapagliflozin	7									
metformin	empagliflozin	356	26.0	33.01	0.7875436058878584	0.9769081141934153	0.4230769230769231	DRUG	DRUG	73.0	161.0
metformin	liraglutide	11									
metformin	semaglutide	344	51.0	43.29	1.178082191780822	0.025407762683268182	0.803921568627451	DRUG	DRUG	73.0	204.0
metformin	BBS	356	43.0	31.17	1.3795962509012256	0.00137406244849845	0.7906976744186046	DRUG	SURGERY	73.0	152.0
metformin	MS_bariatric	79	1.0	0.95	1.0533333333333335	0.6863389774782178	0.0	DRUG	SURGERY	25.0	3.0
metformin	DiRECT	290	32.0	25.66	1.2469766191883902	0.0447246965531263	0.46875	DRUG	DIET	61.0	122.0
dapagliflozin	empagliflozin	12									
dapagliflozin	liraglutide	1									
dapagliflozin	semaglutide	34									
dapagliflozin	BBS	12									
dapagliflozin	MS_bariatric	26									
dapagliflozin	DiRECT	31									
empagliflozin	liraglutide	20									
empagliflozin	semaglutide	1115	196.0	177.44	1.1045965043518697	0.010906602083482509	0.5357142857142857	DRUG	DRUG	374.0	529.0
empagliflozin	BBS	1272	189.0	164.24	1.1507345022185844	0.0015564642222936388	0.6190476190476191	DRUG	SURGERY	417.0	501.0
empagliflozin	MS_bariatric	120	3.0	1.63	1.836734693877551	0.18503463967073136	0.6666666666666666	DRUG	SURGERY	49.0	4.0
empagliflozin	DiRECT	883	123.0	121.12	1.0155119214586257	0.4204563694113722	0.5691056910569106	DRUG	DIET	310.0	345.0
liraglutide	semaglutide	87	33.0	33.0	1.0	1.0	0.36363636363636365	DRUG	DRUG	87.0	33.0
liraglutide	BBS	23									
liraglutide	MS_bariatric	22									
liraglutide	DiRECT	65	26.0	26.0	1.0	1.0	0.7692307692307693	DRUG	DIET	65.0	26.0
semaglutide	BBS	1253	273.0	213.12	1.2809845863479081	1.4210350683796022e-12	0.8058608058608059	DRUG	SURGERY	578.0	462.0
semaglutide	MS_bariatric	324	41.0	27.69	1.4809364548494983	4.148761577131838e-06	0.8536585365853658	DRUG	SURGERY	195.0	46.0
semaglutide	DiRECT	4113	612.0	529.82	1.1551038014647845	1.6558080060214484e-08	0.7761437908496732	DRUG	DIET	1570.0	1388.0
BBS	MS_bariatric	125	2.0	1.5	1.3297872340425532	0.48387127729553336	1.0	SURGERY	SURGERY	47.0	4.0
BBS	DiRECT	976	164.0	143.31	1.1443605582246625	0.0031824209118684484	0.7621951219512195	SURGERY	DIET	376.0	372.0
MS_bariatric	DiRECT	276	21.0	20.57	1.0211416490486258	0.5075778506846379	1.0	SURGERY	DIET	44.0	129.0
