scope	feature	n_genes	n_missing	pct_missing
liver_table	loeuf	28541	12424	43.53
liver_table	tau	28541	7575	26.54
liver_table	architecture	28541	27109	94.98
liver_table	is_secreted	28541	10112	35.43
liver_table	is_enzyme	28541	10112	35.43
liver_table	is_membrane	28541	10112	35.43
liver_table	causal_status	28541	27109	94.98
adipose_table	loeuf	23179	7197	31.05
adipose_table	tau	23179	4452	19.21
adipose_table	architecture	23179	22005	94.94
adipose_table	is_secreted	23179	5232	22.57
adipose_table	is_enzyme	23179	5232	22.57
adipose_table	is_membrane	23179	5232	22.57
adipose_table	causal_status	23179	22005	94.94
gse141221_adipose_table	loeuf	14231	1970	13.84
gse141221_adipose_table	tau	14231	414	2.91
gse141221_adipose_table	architecture	14231	13371	93.96
gse141221_adipose_table	is_secreted	14231	2081	14.62
gse141221_adipose_table	is_enzyme	14231	2081	14.62
gse141221_adipose_table	is_membrane	14231	2081	14.62
gse141221_adipose_table	causal_status	14231	13371	93.96
gse273902_blood_table	loeuf	14647	3898	26.61
gse273902_blood_table	tau	14647	2325	15.87
gse273902_blood_table	architecture	14647	13754	93.9
gse273902_blood_table	is_secreted	14647	3001	20.49
gse273902_blood_table	is_enzyme	14647	3001	20.49
gse273902_blood_table	is_membrane	14647	3001	20.49
gse273902_blood_table	causal_status	14647	13754	93.9
gse157585_muscle_table	loeuf	14009	2341	16.71
gse157585_muscle_table	tau	14009	1320	9.42
gse157585_muscle_table	architecture	14009	13097	93.49
gse157585_muscle_table	is_secreted	14009	1964	14.02
gse157585_muscle_table	is_enzyme	14009	1964	14.02
gse157585_muscle_table	is_membrane	14009	1964	14.02
gse157585_muscle_table	causal_status	14009	13097	93.49
gse43471_adipose_table	loeuf	19564	2677	13.68
gse43471_adipose_table	tau	19564	1474	7.53
gse43471_adipose_table	architecture	19564	18501	94.57
gse43471_adipose_table	is_secreted	19564	2506	12.81
gse43471_adipose_table	is_enzyme	19564	2506	12.81
gse43471_adipose_table	is_membrane	19564	2506	12.81
gse43471_adipose_table	causal_status	19564	18501	94.57
gse83352_muscle_exercise_table	loeuf	15914	2424	15.23
gse83352_muscle_exercise_table	tau	15914	1278	8.03
gse83352_muscle_exercise_table	architecture	15914	15042	94.52
gse83352_muscle_exercise_table	is_secreted	15914	2289	14.38
gse83352_muscle_exercise_table	is_enzyme	15914	2289	14.38
gse83352_muscle_exercise_table	is_membrane	15914	2289	14.38
gse83352_muscle_exercise_table	causal_status	15914	15042	94.52
gse106737_liver_bariatric_table	loeuf	24470	8312	33.97
gse106737_liver_bariatric_table	tau	24470	4949	20.22
gse106737_liver_bariatric_table	architecture	24470	23185	94.75
gse106737_liver_bariatric_table	is_secreted	24470	6264	25.6
gse106737_liver_bariatric_table	is_enzyme	24470	6264	25.6
gse106737_liver_bariatric_table	is_membrane	24470	6264	25.6
gse106737_liver_bariatric_table	causal_status	24470	23185	94.75
gse77962_adipose_diet_table	loeuf	18615	2469	13.26
gse77962_adipose_diet_table	tau	18615	1304	7.01
gse77962_adipose_diet_table	architecture	18615	17601	94.55
gse77962_adipose_diet_table	is_secreted	18615	2247	12.07
gse77962_adipose_diet_table	is_enzyme	18615	2247	12.07
gse77962_adipose_diet_table	is_membrane	18615	2247	12.07
gse77962_adipose_diet_table	causal_status	18615	17601	94.55
POOLED_SUM	loeuf	173170	43712	25.24
POOLED_SUM	tau	173170	25091	14.49
POOLED_SUM	architecture	173170	163665	94.51
POOLED_SUM	is_secreted	173170	35696	20.61
POOLED_SUM	is_enzyme	173170	35696	20.61
POOLED_SUM	is_membrane	173170	35696	20.61
POOLED_SUM	causal_status	173170	163665	94.51
UNIQUE_UNION	loeuf	38589	20818	53.95
UNIQUE_UNION	tau	38589	13286	34.43
UNIQUE_UNION	architecture	38589	37157	96.29
UNIQUE_UNION	is_secreted	38589	18794	48.7
UNIQUE_UNION	is_enzyme	38589	18794	48.7
UNIQUE_UNION	is_membrane	38589	18794	48.7
UNIQUE_UNION	causal_status	38589	37157	96.29
