context	tissue	family	n_marks	pct_toward_lean	canonical_published_pct	anchor_delta_pp	pct_rev_up	pct_bmi_up	wilson_ci_lo	wilson_ci_hi	binom_p_vs_50	sig_vs_50	chance_baseline_p0	perm_null_mean	excess_over_p0_pp	perm_p_vs_p0	sig_vs_p0	agrees_across_baselines	centred_pct	centred_binom_p_vs_50	centred_sig_vs_50	flips_on_centring	perm_over_binom_sd	perm_over_binom_sd_closed_form
DiRECT (plasma)	plasma	diet	2954	63.27	63.0	0.27	66.4	45.8	61.52	64.99	1.349886379445013e-47	True	51.39	51.38	11.88	0.0	True	True	61.98	4.813581576602357e-39	True	False	0.945	0.941
By-Band-Sleeve (plasma)	plasma	surgery	909	58.64	59.0	-0.36	54.7	45.8	55.4	61.79	2.1422500796513502e-07	True	50.4	50.36	8.24	0.0	True	True	58.64	2.1422500796513502e-07	True	False	0.997	0.992
semaglutide (plasma)	plasma	GLP-1RA	3349	57.0	57.0	0.0	51.2	45.8	55.32	58.67	5.492904697353355e-16	True	50.1	50.11	6.9	0.0	True	True	57.06	3.095952946418394e-16	True	False	1.001	0.996
MS bariatric (plasma)	plasma	surgery	264	54.92	55.0	-0.08	47.7	46.6	48.89	60.81	0.12372916581811151	False	49.85	49.79	5.08	0.1092	False	True	54.92	0.12372916581811151	False	False	0.997	0.997
metformin (plasma)	plasma	drug	300	53.67	54.0	-0.33	15.3	45.7	48.01	59.23	0.22528556788446605	False	47.0	46.99	6.67	0.0017	True	False	56.33	0.032490753962042235	True	True	0.724	0.718
empagliflozin (plasma)	plasma	drug	828	51.81	52.0	-0.19	90.1	46.0	48.41	55.2	0.31354035352876897	False	53.2	53.2	-1.38	0.1985	False	True	53.02	0.08853186440352792	False	False	0.593	0.596
RYGB (adipose)	adipose	surgery	16888	68.42	68.0	0.42	46.5	51.2	67.72	69.12	0.0	True	50.08	50.08	18.34	0.0	True	True	68.36	0.0	True	False	0.999	0.997
CR (adipose)	adipose	diet	15271	56.57	57.0	-0.43	49.0	51.6	55.78	57.36	2.0141867477813824e-59	True	50.03	50.03	6.54	0.0	True	True	56.7	1.243513849863849e-61	True	False	0.991	0.999
diet GSE77962 (adipose)	adipose	diet	15776	54.26	54.0	0.26	47.1	51.5	53.48	55.04	1.0302039349500615e-26	True	50.08	50.08	4.18	0.0	True	True	54.14	2.591011867907466e-25	True	False	1.002	0.998
LCD DiOGenes (adipose)	adipose	diet	11733	51.66	52.0	-0.34	68.9	48.9	50.75	52.56	0.0003405635983390227	True	50.4	50.4	1.26	0.0031	True	True	49.47	0.2523045903529499	False	True	0.931	0.925
GSE83452 (liver)	liver	diet+surg	16495	53.16	53.2	-0.04	45.1	53.0	52.4	53.92	4.823994555289773e-16	True	50.3	50.3	2.87	0.0	True	True	53.02	8.672600082939504e-15	True	False	0.999	0.993
GSE106737 (liver)	liver	surgery	16624	54.41	54.4	0.01	47.5	53.0	53.65	55.17	5.918298097186077e-30	True	50.15	50.15	4.26	0.0	True	True	54.37	2.0461249709139974e-29	True	False	1.0	0.997
GSE273902 (blood)	blood	surgery	3153	51.47	51.5	-0.03	45.2	30.1	49.73	53.22	0.10131843103010925	False	48.09	48.09	3.38	0.0	True	False	54.49	5.025288347981336e-07	True	True	0.906	0.913
