a	b	tis_a	tis_b	kind	tissue	rho
liver-GSE83452	liver-GSE48452	liver	liver	within	liver	0.21360968295332208
liver-GSE83452	liver-GSE106737	liver	liver	within	liver	0.8056499461291937
liver-GSE83452	adi-CR	liver	adipose	cross	cross	0.10663532231326063
liver-GSE83452	adi-LCD	liver	adipose	cross	cross	-0.03330890715587817
liver-GSE83452	adi-dietEx	liver	adipose	cross	cross	0.008012943519722633
liver-GSE83452	adi-RYGB	liver	adipose	cross	cross	0.24350299909267287
liver-GSE83452	adi-diet2	liver	adipose	cross	cross	-0.07533395033893955
liver-GSE83452	adi-dose	liver	adipose	cross	cross	0.15919371700439336
liver-GSE83452	adi-metformin	liver	adipose	cross	cross	0.07240410403532048
liver-GSE83452	adi-endur	liver	adipose	cross	cross	0.031184348499067663
liver-GSE83452	mus-mtfRT	liver	muscle	cross	cross	-0.09024506407854263
liver-GSE83452	mus-exer	liver	muscle	cross	cross	-0.054372806450133745
liver-GSE83452	mus-bari	liver	muscle	cross	cross	-0.06284149835585233
liver-GSE83452	bld-bari	liver	blood	cross	cross	0.13440058830090634
liver-GSE83452	bld-glp1	liver	blood	cross	cross	-0.055555891166332465
liver-GSE83452	bld-exer	liver	blood	cross	cross	-0.037459987907586666
liver-GSE83452	bld-diet	liver	blood	cross	cross	0.055756141819332396
liver-GSE48452	liver-GSE106737	liver	liver	within	liver	0.20065296139460262
liver-GSE48452	adi-CR	liver	adipose	cross	cross	0.07263196663761824
liver-GSE48452	adi-LCD	liver	adipose	cross	cross	-0.14722049375421437
liver-GSE48452	adi-dietEx	liver	adipose	cross	cross	-0.10144215812165226
liver-GSE48452	adi-RYGB	liver	adipose	cross	cross	0.166143934976123
liver-GSE48452	adi-diet2	liver	adipose	cross	cross	0.25100602977524084
liver-GSE48452	adi-dose	liver	adipose	cross	cross	0.09166459510645619
liver-GSE48452	adi-metformin	liver	adipose	cross	cross	0.013223443489473208
liver-GSE48452	adi-endur	liver	adipose	cross	cross	0.06927390254194003
liver-GSE48452	mus-mtfRT	liver	muscle	cross	cross	-0.22105844336115257
liver-GSE48452	mus-exer	liver	muscle	cross	cross	-0.14071242167273357
liver-GSE48452	mus-bari	liver	muscle	cross	cross	0.16031960928970707
liver-GSE48452	bld-bari	liver	blood	cross	cross	0.4480741079750126
liver-GSE48452	bld-glp1	liver	blood	cross	cross	-0.1988438759387971
liver-GSE48452	bld-exer	liver	blood	cross	cross	0.011854584458820745
liver-GSE48452	bld-diet	liver	blood	cross	cross	0.02896223671661845
liver-GSE106737	adi-CR	liver	adipose	cross	cross	0.08760320784782537
liver-GSE106737	adi-LCD	liver	adipose	cross	cross	-0.035182732783323824
liver-GSE106737	adi-dietEx	liver	adipose	cross	cross	0.004673267684170989
liver-GSE106737	adi-RYGB	liver	adipose	cross	cross	0.22005067574722087
liver-GSE106737	adi-diet2	liver	adipose	cross	cross	-0.06339358715992954
liver-GSE106737	adi-dose	liver	adipose	cross	cross	0.13996457494926498
liver-GSE106737	adi-metformin	liver	adipose	cross	cross	0.07910632246693516
liver-GSE106737	adi-endur	liver	adipose	cross	cross	0.005238886975580459
liver-GSE106737	mus-mtfRT	liver	muscle	cross	cross	-0.08835269187738193
liver-GSE106737	mus-exer	liver	muscle	cross	cross	-0.03615515664471547
liver-GSE106737	mus-bari	liver	muscle	cross	cross	-0.03307829658798493
liver-GSE106737	bld-bari	liver	blood	cross	cross	0.0642250364823766
liver-GSE106737	bld-glp1	liver	blood	cross	cross	-0.03702977228365225
liver-GSE106737	bld-exer	liver	blood	cross	cross	-0.02836500065805768
liver-GSE106737	bld-diet	liver	blood	cross	cross	0.08582802799645606
adi-CR	adi-LCD	adipose	adipose	within	adipose	0.516156354952895
adi-CR	adi-dietEx	adipose	adipose	within	adipose	0.1437889231266928
adi-CR	adi-RYGB	adipose	adipose	within	adipose	0.2659672346826784
