gene	n_tissue_pairs
CD83	3
PLAUR	3
THBS1	3
PFKFB3	3
ACLY	1
ADAMTS4	1
ADH1B	1
ANGPTL4	1
CA3	1
CCL2	1
CD180	1
CD48	1
CD52	1
CETP	1
CTH	1
CXCR4	1
EGR1	1
FAT1	1
FMO1	1
FOSB	1
FPR1	1
GPAT3	1
GPNMB	1
GSDMB	1
HPGD	1
IGSF6	1
IL18	1
IL1RN	1
IL2RG	1
INSIG1	1
LBP	1
LCP1	1
LDLR	1
LYZ	1
MAP3K5	1
ME1	1
MNDA	1
MT1M	1
NCF2	1
P2RY12	1
PILRA	1
PLA2G2A	1
PLPP1	1
PLTP	1
PPP2R1B	1
RGS1	1
S100A8	1
S100A9	1
SAA1	1
SAA2	1
SELL	1
SLAMF6	1
SLAMF7	1
SLC27A2	1
SPP1	1
VNN2	1
CDH5	1
CTSC	1
FABP4	1
GPT2	1
HECW2	1
IFI16	1
MSS51	1
MT2A	1
MYH1	1
PEA15	1
PECAM1	1
SLC38A1	1
SRGN	1
TAGLN2	1
TMSB10	1
UCP2	1
ZFP36	1
ABLIM3	1
BASP1	1
CKS2	1
DEFA1B	1
FOSL2	1
ICAM1	1
KLRF1	1
NR4A2	1
SIK1	1
SLC2A3	1
SOCS3	1
TNFAIP3	1
TRIB1	1
AASS	1
ABCG1	1
COL3A1	1
MXRA5	1
NPR3	1
THBS4	1
ALAS2	1
CES1	1
HBB	1
HBD	1
SLC4A1	1
TUBB2A	1
CLDN5	1
UBE2Q2	1
