term	beta_ols	se_ols	p_ols	se_dyadic2way	t_dyadic2way	p_dyadic2way	marginal_R2	unique_R2	typeII_pct_totalvar	unique_R2_jack_min	unique_R2_jack_max	perm_p_marginal	perm_p_unique	marginal_R2_fisherz	unique_R2_fisherz	n_same	n_diff
same_tissue	0.123206	0.0230626	3.36927e-07	0.0332905	3.70094	0.000214805	0.174405	0.127206	0.133702	0.0832065	0.206883	0.00019999	0.000149993	0.168515	0.122926	40	113
same_platform	0.0216227	0.0201195	0.284241	0.0295976	0.730557	0.46505	0.0142494	0.00514808	0.00541097	0.000400972	0.0182053	0.119744	0.272086	0.0132501	0.00465885	76	77
same_intervention_family	0.14033	0.0238012	2.3986e-08	0.0285099	4.92217	8.55888e-07	0.197833	0.154941	0.162853	0.114729	0.176646	4.99975e-05	4.99975e-05	0.192408	0.150869	36	117
MODEL_full_R2							0.335878	0.322507	1							153	
shared_commonality_R2								0.0485836									
tissueXintervention_saturated_R2							0.393614	0.0628835									
cell_diffT_diffF_mean	0.00377027															90	
cell_diffT_sameF_mean	0.0828306															23	
cell_sameT_diffF_mean	0.0746365															27	
cell_sameT_sameF_mean	0.344691															13	
