gene	layer	outcome	instrument_rsid	n_instr	F	MR_beta	MR_p	q	coloc_PP_H4	PP_H4_over_H3	finemap_pip	tier	n_nonEGFR_causal_outcomes	included_in_determinant	determinant_panels_measured	in_PaperA_S2	mhc_region
CELSR2	Transcriptome	CAD	rs12740374	1 (finemapped lead)	272.9	-0.1014	3.67e-17	1.80e-14	0.998	570	0.714	cis-MR Bonferroni-p & Steiger-fwd, F>=10 (GTEx-liver eQTL); is_causal	1	Y	9/9	Y (coloc-tier)	False
CEP85L	Transcriptome	AF	rs28605789	1 (finemapped lead)	47.2	-0.0959	2.62e-07	3.41e-04	0.001	0.000976	0.030	cis-MR Bonferroni-p & Steiger-fwd, F>=10 (GTEx-liver eQTL); is_causal	1	Y	9/9	N	False
CWF19L1	Transcriptome	T2D	rs35614792	1 (finemapped lead)	113.5	-0.0632	6.66e-07	5.03e-04	0.971	33.4	0.076	cis-MR Bonferroni-p & Steiger-fwd, F>=10 (GTEx-liver eQTL); is_causal	1	Y	8/9	Y (coloc-tier)	False
LRRC37A2	Transcriptome	AF	rs62055936	1 (finemapped lead)	146.7	+0.0511	7.75e-07	5.03e-04	0.052	0.0552	0.003	cis-MR Bonferroni-p & Steiger-fwd, F>=10 (GTEx-liver eQTL); is_causal	1	Y	7/9	N	False
MAPT-IT1	Transcriptome	AF	rs62061734	1 (finemapped lead)	50.8	-0.0901	1.54e-05	6.66e-03	0.052	0.0546	0.008	cis-MR Bonferroni-p & Steiger-fwd, F>=10 (GTEx-liver eQTL); is_causal	1	Y	3/9	N	False
MICB	Transcriptome	T2D	rs2844499	1 (finemapped lead)	75.0	+0.0666	2.70e-06	1.02e-03	NA (not coloc-staged)	NA	0.056	cis-MR Bonferroni-p & Steiger-fwd, F>=10 (GTEx-liver eQTL); is_causal	1	Y	8/9	N	True
PSRC1	Transcriptome	CAD	rs12740374	1 (finemapped lead)	262.1	-0.0892	4.75e-17	1.80e-14	0.998	430	0.969	cis-MR Bonferroni-p & Steiger-fwd, F>=10 (GTEx-liver eQTL); is_causal	1	Y	8/9	Y (coloc-tier)	False
SLC22A3	Transcriptome	T2D	rs675162	1 (finemapped lead)	51.3	-0.0722	2.04e-05	5.13e-03	0.964	26.4	0.101	cis-MR Bonferroni-p & Steiger-fwd, F>=10 (GTEx-liver eQTL); is_causal	1	Y	8/9	Y (coloc-tier)	False
SORT1	Transcriptome	CAD	rs12740374	1 (finemapped lead)	504.4	-0.0857	2.01e-19	2.29e-16	0.998	429	0.999	cis-MR Bonferroni-p & Steiger-fwd, F>=10 (GTEx-liver eQTL); is_causal	1	Y	9/9	Y (coloc-tier)	False
ACE	Proteome	T2D	rs4362	1	3520.8	+0.0602	6.45e-04	3.05e-02	NA (not coloc-staged)	NA	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	1	Y	1/3	Y	False
